respondent_id,age,gender,platform,daily_minutes,trust_score,education
108,23,M,TikTok,94,2.5,diplomski
109,41,F,TikTok,54,3.0,diplomski
110,35,M,Instagram,132,5.3,preddiplomski
111,65,F,Facebook,58,3.9,diplomski
112,51,F,LinkedIn,97,6.0,preddiplomski
113,41,M,Instagram,75,6.8,preddiplomski
114,62,Other,YouTube,51,5.5,srednja
115,18,F,TikTok,126,1.3,doktorski
116,48,M,Instagram,91,4.0,preddiplomski
117,61,M,Instagram,34,7.0,srednja
118,44,F,Facebook,82,2.4,preddiplomski
119,46,F,Instagram,61,4.4,srednja
120,65,M,Facebook,33,4.8,preddiplomski
121,23,M,Instagram,136,3.7,preddiplomski
122,36,M,Instagram,109,2.7,diplomski
123,22,F,Twitter,146,5.0,doktorski
124,45,M,Instagram,49,1.9,preddiplomski
125,27,M,Instagram,108,4.4,preddiplomski
126,25,F,TikTok,177,3.4,preddiplomski
127,52,F,Instagram,107,2.9,preddiplomski
128,23,M,YouTube,142,6.2,preddiplomski
129,19,Other,YouTube,141,5.5,preddiplomski
130,59,M,Instagram,71,7.0,preddiplomski
131,49,Other,TikTok,60,1.6,srednja
132,44,F,Instagram,106,6.7,diplomski
133,53,M,Instagram,74,5.6,diplomski
134,18,F,TikTok,159,3.5,srednja
135,41,F,TikTok,89,2.6,srednja
136,36,M,YouTube,111,1.7,doktorski
137,56,F,YouTube,66,3.4,preddiplomski
138,25,F,Instagram,135,6.0,preddiplomski
139,63,M,YouTube,24,3.8,preddiplomski
140,27,M,Twitter,143,4.0,diplomski
141,22,M,Facebook,76,4.0,diplomski
142,36,F,Facebook,144,4.5,diplomski
143,27,M,TikTok,101,3.3,doktorski
144,30,Other,Instagram,164,3.3,diplomski
145,44,M,YouTube,77,3.3,diplomski
146,59,Other,TikTok,10,1.2,preddiplomski
147,55,M,Instagram,78,6.5,srednja
148,27,M,YouTube,115,1.9,preddiplomski
149,34,M,YouTube,77,6.1,diplomski
150,42,Other,YouTube,49,6.3,preddiplomski
151,52,M,Instagram,30,7.0,diplomski
152,45,Other,Facebook,40,5.2,srednja
153,28,F,Twitter,175,2.8,preddiplomski
154,27,M,TikTok,141,5.1,srednja
155,29,M,Facebook,106,6.5,srednja
156,47,F,TikTok,71,5.0,diplomski
157,47,F,YouTube,104,3.1,preddiplomski
158,58,Other,YouTube,91,3.7,preddiplomski
159,42,F,Instagram,75,2.8,diplomski
160,19,Other,YouTube,161,2.6,preddiplomski
161,61,F,LinkedIn,100,6.0,doktorski
162,32,F,TikTok,90,4.8,preddiplomski
163,61,F,Facebook,51,1.6,preddiplomski
164,20,M,TikTok,125,4.5,diplomski
165,23,F,TikTok,117,5.7,diplomski
166,41,F,Twitter,108,6.0,preddiplomski
167,48,Other,Instagram,121,3.8,srednja
168,32,F,YouTube,77,6.9,doktorski
169,53,M,Facebook,111,3.7,diplomski
170,61,M,TikTok,61,4.8,preddiplomski
171,61,M,Instagram,87,6.5,preddiplomski
172,22,F,TikTok,110,5.2,preddiplomski
173,25,M,Twitter,118,1.6,diplomski
174,26,M,TikTok,161,6.7,diplomski
175,52,M,YouTube,94,1.6,preddiplomski
176,44,Other,Instagram,118,5.1,preddiplomski
177,46,Other,Facebook,125,4.3,doktorski
178,40,M,Instagram,127,6.8,doktorski
179,47,M,Instagram,35,1.3,preddiplomski
180,26,F,Instagram,67,6.0,preddiplomski
181,55,M,Facebook,62,6.4,srednja
182,27,Other,TikTok,141,5.8,srednja
183,19,M,TikTok,152,1.1,preddiplomski
184,26,F,TikTok,89,5.5,preddiplomski
185,41,F,Instagram,26,1.3,diplomski
186,60,F,TikTok,58,6.8,srednja
187,48,F,TikTok,121,3.7,diplomski
188,38,F,Instagram,134,2.7,preddiplomski
189,53,F,TikTok,53,4.0,preddiplomski
190,62,M,YouTube,42,6.3,preddiplomski
191,31,M,Facebook,70,3.4,diplomski
192,38,M,YouTube,133,3.2,srednja
193,48,M,Facebook,95,5.4,diplomski
194,53,M,LinkedIn,81,4.4,diplomski
195,44,M,YouTube,92,5.3,doktorski
196,56,M,Instagram,10,4.0,srednja
197,48,M,Instagram,100,5.6,preddiplomski
198,45,F,LinkedIn,66,5.9,preddiplomski
199,59,F,YouTube,37,1.2,preddiplomski
200,37,F,TikTok,67,2.1,srednja
201,60,M,Instagram,55,5.5,preddiplomski
202,44,F,Instagram,86,2.9,preddiplomski
203,54,F,Facebook,100,1.3,srednja
204,46,F,TikTok,130,3.7,preddiplomski
205,50,M,TikTok,71,3.9,diplomski
206,20,M,LinkedIn,184,1.3,preddiplomski
207,31,F,Facebook,114,4.0,preddiplomski
208,26,M,YouTube,143,4.0,diplomski
209,40,M,Facebook,106,6.5,diplomski
210,54,M,TikTok,74,4.8,preddiplomski
211,43,M,TikTok,107,6.0,doktorski
212,23,M,Instagram,95,3.6,preddiplomski
213,23,M,TikTok,120,2.0,preddiplomski
214,25,F,Instagram,153,5.7,preddiplomski
215,59,F,Instagram,74,4.6,diplomski
216,59,M,LinkedIn,78,4.8,preddiplomski
217,54,F,TikTok,106,4.8,preddiplomski
218,58,M,TikTok,46,3.8,preddiplomski
219,35,F,TikTok,140,1.2,preddiplomski
220,36,M,Facebook,123,6.1,preddiplomski
221,50,M,YouTube,127,1.2,doktorski
222,54,F,TikTok,58,3.9,srednja
223,21,F,Facebook,182,1.5,preddiplomski
224,20,M,TikTok,67,3.6,preddiplomski
225,28,M,Twitter,85,5.1,srednja
226,58,F,Instagram,98,1.6,diplomski
227,36,M,Facebook,148,1.9,srednja
228,60,M,TikTok,51,6.8,diplomski
229,43,M,YouTube,127,4.9,preddiplomski
230,26,F,Facebook,147,5.4,diplomski
231,51,M,YouTube,72,2.9,doktorski
232,39,Other,TikTok,102,2.4,srednja
233,22,M,Facebook,99,5.4,preddiplomski
234,60,M,Facebook,58,1.8,preddiplomski
235,28,M,YouTube,78,5.3,srednja
236,41,F,Instagram,52,3.7,preddiplomski
237,65,F,Instagram,55,5.7,doktorski
238,30,M,Twitter,198,6.9,preddiplomski
239,36,F,TikTok,92,2.2,preddiplomski
240,34,M,TikTok,121,3.2,doktorski
241,63,F,Facebook,43,2.6,doktorski
242,27,F,Instagram,176,6.5,diplomski
243,40,Other,TikTok,77,3.3,srednja
244,32,M,Twitter,134,6.0,preddiplomski
245,27,M,Instagram,148,1.8,diplomski
246,46,F,Twitter,47,1.1,preddiplomski
247,27,F,YouTube,112,2.7,preddiplomski
248,21,M,YouTube,135,4.7,srednja
249,49,F,Instagram,60,1.9,preddiplomski
250,57,M,YouTube,64,2.1,diplomski
251,51,Other,Instagram,43,6.9,preddiplomski
252,42,F,Instagram,90,3.3,preddiplomski
253,65,M,Facebook,23,4.8,diplomski
254,65,F,Instagram,90,3.1,preddiplomski
255,59,M,Facebook,17,4.8,diplomski
256,22,F,Twitter,146,1.2,preddiplomski
257,30,F,TikTok,109,5.9,preddiplomski
258,20,F,Instagram,168,3.1,diplomski
259,59,M,Instagram,19,5.5,diplomski
260,42,M,Instagram,142,5.2,preddiplomski
261,51,M,Instagram,50,7.0,srednja
262,36,M,Instagram,123,5.0,preddiplomski
263,56,F,Instagram,37,5.4,doktorski
264,57,Other,Instagram,77,6.9,doktorski
265,22,F,TikTok,86,2.0,srednja
266,56,F,TikTok,64,1.8,preddiplomski
267,59,M,TikTok,25,5.1,doktorski
268,41,M,Instagram,81,1.8,preddiplomski
269,38,F,Instagram,141,4.0,preddiplomski
270,53,M,Facebook,106,5.2,preddiplomski
271,57,M,Twitter,51,6.1,preddiplomski
272,63,M,Instagram,55,5.1,diplomski
273,38,F,YouTube,80,2.8,srednja
274,63,F,YouTube,46,5.8,preddiplomski
275,25,Other,Facebook,133,3.2,preddiplomski
276,47,F,YouTube,121,4.7,srednja
277,37,M,YouTube,75,3.5,preddiplomski
278,26,Other,YouTube,132,3.7,diplomski
279,40,M,Facebook,62,5.6,srednja
280,50,F,Instagram,67,1.7,srednja
281,28,M,Twitter,135,4.1,preddiplomski
282,23,M,YouTube,206,4.3,srednja
283,37,F,Instagram,81,4.5,srednja
284,57,F,YouTube,35,6.1,preddiplomski
285,19,M,Twitter,145,2.3,preddiplomski
286,57,F,TikTok,43,4.8,preddiplomski
287,37,F,Facebook,96,1.4,srednja
288,46,M,TikTok,65,3.0,srednja
289,63,M,LinkedIn,37,5.6,preddiplomski
290,24,M,TikTok,157,2.6,preddiplomski
291,24,M,Twitter,153,6.8,doktorski
292,38,Other,YouTube,80,2.1,srednja
293,50,F,Facebook,67,3.4,preddiplomski
294,33,M,TikTok,114,1.3,preddiplomski
295,59,F,Instagram,76,1.8,preddiplomski
296,41,F,TikTok,99,3.4,preddiplomski
297,30,M,Instagram,95,4.3,diplomski
298,57,F,Instagram,87,6.9,preddiplomski
299,39,F,TikTok,127,3.4,srednja
300,20,M,TikTok,172,3.8,preddiplomski
301,56,F,Instagram,92,3.4,preddiplomski
302,37,F,TikTok,95,4.1,preddiplomski
303,54,M,Facebook,42,6.9,preddiplomski
304,64,F,YouTube,85,4.6,preddiplomski
305,59,F,Facebook,20,4.5,srednja
306,58,F,Facebook,42,3.3,diplomski
307,33,M,Twitter,119,2.9,srednja
308,62,M,TikTok,60,4.7,preddiplomski
309,65,F,YouTube,12,7.0,preddiplomski
310,42,M,Instagram,91,6.5,preddiplomski
311,40,F,Facebook,77,2.6,preddiplomski
312,33,M,Instagram,65,6.6,doktorski
313,36,F,YouTube,74,4.4,doktorski
314,64,M,Instagram,54,5.1,preddiplomski
315,43,F,LinkedIn,102,2.7,diplomski
316,40,F,YouTube,77,5.5,preddiplomski
317,52,M,YouTube,74,5.4,preddiplomski
318,21,F,TikTok,152,4.8,srednja
319,44,M,TikTok,85,6.8,doktorski
320,28,M,Twitter,109,6.3,preddiplomski
321,30,F,Instagram,118,5.6,diplomski
322,32,F,YouTube,126,6.6,doktorski
323,29,M,Facebook,129,6.0,diplomski
324,29,Other,LinkedIn,119,6.6,diplomski
325,18,M,YouTube,168,3.7,preddiplomski
326,51,F,Twitter,66,6.1,preddiplomski
327,30,F,TikTok,115,5.3,srednja
328,39,F,YouTube,59,5.5,srednja
329,58,F,Facebook,51,5.0,srednja
330,26,F,Twitter,127,1.0,preddiplomski
331,46,F,LinkedIn,73,1.1,diplomski
332,62,M,YouTube,102,3.8,srednja
333,61,F,Facebook,51,1.7,doktorski
334,36,M,Instagram,83,6.7,preddiplomski
335,47,F,YouTube,53,3.8,preddiplomski
336,60,F,Facebook,79,5.1,preddiplomski
337,23,F,TikTok,91,1.7,diplomski
338,50,M,TikTok,131,2.0,diplomski
339,46,M,Instagram,77,4.1,diplomski
340,47,M,TikTok,79,4.4,preddiplomski
341,61,F,YouTube,14,5.5,preddiplomski
342,20,M,YouTube,174,4.2,srednja
343,22,Other,TikTok,132,1.8,preddiplomski
344,64,F,TikTok,70,7.0,preddiplomski
345,42,M,YouTube,76,4.9,preddiplomski
346,29,Other,TikTok,90,1.8,doktorski
347,18,F,LinkedIn,97,3.5,preddiplomski
348,32,M,TikTok,127,2.7,doktorski
349,64,F,Instagram,30,6.6,diplomski
350,33,M,Instagram,79,1.2,preddiplomski
351,63,F,Instagram,85,4.2,diplomski
352,21,M,LinkedIn,147,2.4,doktorski
353,54,M,YouTube,60,2.8,srednja
354,60,F,TikTok,37,2.7,preddiplomski
355,55,F,Twitter,48,4.0,doktorski
356,59,F,Facebook,39,2.9,preddiplomski
357,27,M,Instagram,104,2.4,diplomski
358,27,F,Twitter,121,4.4,doktorski
359,53,F,TikTok,73,1.5,preddiplomski
360,41,M,YouTube,125,2.1,preddiplomski
361,61,F,Instagram,107,4.5,diplomski
362,31,F,Facebook,142,3.0,doktorski
363,18,M,Instagram,141,5.5,doktorski
364,62,F,Instagram,10,6.5,preddiplomski
365,36,M,TikTok,93,4.1,preddiplomski
366,24,F,YouTube,150,5.6,preddiplomski
367,31,M,TikTok,98,1.9,preddiplomski
368,55,F,TikTok,62,1.9,preddiplomski
369,42,F,Instagram,28,3.0,diplomski
370,49,Other,YouTube,60,3.9,srednja
371,40,M,YouTube,33,4.3,preddiplomski
372,21,F,Facebook,143,1.4,diplomski
373,21,F,TikTok,150,5.2,srednja
374,50,F,Instagram,62,4.8,doktorski
375,48,F,Instagram,54,1.1,diplomski
376,52,Other,Instagram,70,5.9,diplomski
377,29,M,Instagram,134,4.2,diplomski
378,35,F,Instagram,126,6.8,preddiplomski
379,33,Other,Instagram,91,4.9,diplomski
380,20,M,TikTok,87,4.3,srednja
381,18,F,Instagram,168,3.0,doktorski
382,24,F,Twitter,96,2.4,doktorski
383,62,F,TikTok,67,6.6,diplomski
384,54,F,Instagram,75,6.1,srednja
385,31,F,Facebook,111,1.5,srednja
386,33,F,Facebook,85,5.1,preddiplomski
387,42,F,Instagram,144,4.0,doktorski
388,21,M,Instagram,135,1.5,preddiplomski
389,57,Other,TikTok,67,2.6,doktorski
390,49,M,YouTube,75,3.3,srednja
391,55,F,Instagram,31,5.3,srednja
392,27,M,Facebook,90,1.9,preddiplomski
393,41,M,Instagram,88,2.6,srednja
394,29,M,YouTube,148,4.1,srednja
395,23,M,Instagram,112,3.3,preddiplomski
396,42,F,YouTube,81,4.4,doktorski
397,33,F,Instagram,102,2.8,preddiplomski
398,22,M,Instagram,147,2.8,diplomski
399,41,M,Instagram,70,2.2,srednja
400,37,M,TikTok,78,6.0,preddiplomski
401,39,M,TikTok,121,4.6,preddiplomski
402,56,Other,Instagram,29,2.9,doktorski
403,38,M,YouTube,65,2.5,preddiplomski
404,43,M,Twitter,96,2.2,doktorski
405,29,F,YouTube,154,5.3,preddiplomski
406,36,F,Instagram,98,6.1,diplomski
407,61,F,YouTube,60,5.3,diplomski
408,22,M,YouTube,180,4.5,preddiplomski
409,62,M,Instagram,102,5.9,preddiplomski
410,23,M,Instagram,125,5.0,srednja
411,57,M,LinkedIn,53,5.5,doktorski
412,45,M,Instagram,63,2.3,diplomski
413,53,F,YouTube,46,5.6,preddiplomski
414,50,M,LinkedIn,90,3.9,preddiplomski
415,23,M,Twitter,150,3.7,preddiplomski
416,48,M,Instagram,104,5.3,preddiplomski
417,22,M,Facebook,180,4.9,diplomski
418,28,F,YouTube,163,4.1,preddiplomski
419,39,F,LinkedIn,105,2.1,preddiplomski
420,45,M,YouTube,120,6.3,preddiplomski
421,45,M,YouTube,104,5.9,srednja
422,24,F,TikTok,180,3.2,srednja
423,25,M,Facebook,88,4.6,preddiplomski
424,55,M,TikTok,63,3.7,srednja
425,61,F,Instagram,49,1.8,srednja
426,37,M,TikTok,98,1.8,preddiplomski
427,56,M,TikTok,85,5.2,preddiplomski
428,29,F,TikTok,161,1.8,preddiplomski
429,46,F,Facebook,121,2.2,preddiplomski
430,53,F,TikTok,64,5.1,preddiplomski
431,46,F,Instagram,138,2.8,preddiplomski
432,52,M,Facebook,86,4.4,diplomski
433,49,F,Instagram,121,5.9,preddiplomski
434,20,F,TikTok,174,2.3,preddiplomski
435,65,F,Facebook,16,3.7,preddiplomski
436,23,M,LinkedIn,243,5.7,preddiplomski
437,65,F,TikTok,40,2.0,srednja
438,31,F,Facebook,77,4.4,preddiplomski
439,56,F,TikTok,61,2.6,diplomski
440,61,F,Instagram,34,5.5,preddiplomski
441,21,Other,Facebook,180,2.5,diplomski
442,33,F,YouTube,157,3.9,preddiplomski
443,35,F,TikTok,157,5.6,preddiplomski
444,65,M,Twitter,74,3.2,doktorski
445,38,F,Facebook,112,6.8,preddiplomski
446,62,M,Instagram,45,4.2,preddiplomski
447,45,F,TikTok,79,4.3,srednja
448,49,F,Facebook,104,5.6,srednja
449,58,F,TikTok,106,3.6,srednja
450,45,M,YouTube,132,1.8,preddiplomski
451,28,F,Facebook,148,1.5,diplomski
452,59,M,TikTok,78,2.8,diplomski
453,32,M,Instagram,133,1.5,preddiplomski
454,51,F,Instagram,90,5.2,diplomski
455,45,F,TikTok,92,5.8,srednja
456,41,F,Instagram,111,5.6,diplomski
457,26,F,YouTube,163,4.7,srednja
458,40,F,YouTube,116,1.9,preddiplomski
459,61,M,Instagram,71,1.7,diplomski
460,40,Other,TikTok,90,1.8,preddiplomski
461,23,M,YouTube,130,6.6,srednja
462,60,F,Instagram,36,4.6,srednja
463,43,M,Instagram,154,4.0,srednja
464,49,F,Instagram,37,6.3,srednja
465,41,Other,Instagram,123,3.2,diplomski
466,48,Other,Facebook,54,1.1,srednja
467,34,M,Twitter,141,2.7,diplomski
468,44,M,TikTok,82,4.8,preddiplomski
469,27,M,TikTok,106,5.8,preddiplomski
470,43,F,Facebook,93,4.9,preddiplomski
471,37,F,YouTube,112,1.5,preddiplomski
472,47,F,Instagram,77,5.0,diplomski
473,29,M,YouTube,117,6.7,preddiplomski
474,64,M,TikTok,35,5.5,diplomski
475,64,F,Facebook,106,2.6,srednja
476,63,Other,YouTube,64,4.0,preddiplomski
477,21,F,YouTube,122,1.6,preddiplomski
478,64,M,YouTube,69,1.0,diplomski
479,18,M,TikTok,131,6.6,diplomski
480,53,F,YouTube,85,4.9,preddiplomski
481,33,M,YouTube,112,3.2,preddiplomski
482,21,M,Facebook,150,6.9,doktorski
483,22,F,Facebook,140,1.5,preddiplomski
484,41,M,YouTube,72,2.8,preddiplomski
485,47,M,LinkedIn,138,5.4,preddiplomski
486,33,M,Twitter,113,1.1,preddiplomski
487,58,F,Facebook,66,4.9,diplomski
488,64,M,Instagram,52,6.9,preddiplomski
489,21,Other,Instagram,136,2.4,diplomski
490,44,F,TikTok,101,6.8,srednja
491,24,F,YouTube,100,1.4,diplomski
492,26,M,Instagram,153,2.9,diplomski
493,62,F,TikTok,35,6.7,srednja
494,55,M,Instagram,76,3.7,preddiplomski
495,25,F,LinkedIn,137,2.6,srednja
496,28,F,TikTok,149,5.2,preddiplomski
497,31,F,TikTok,137,3.1,preddiplomski
498,61,M,Facebook,70,2.0,doktorski
499,46,F,YouTube,100,5.8,srednja
500,21,F,LinkedIn,146,1.8,diplomski
