person_id,age,gender,education,primary_news_source,media_trust,daily_media_min,willing_to_pay
65,39,ženski,viša/prvostupnik,portal,5,188,0
66,42,muški,viša/prvostupnik,portal,3,114,54
67,42,ženski,srednja,portal,4,129,0
68,59,muški,viša/prvostupnik,tisak,6,237,0
69,52,ženski,srednja,radio,7,72,0
70,36,ženski,srednja,TV,8,118,29
71,18,ženski,osnovna,radio,7,176,18
72,32,ženski,viša/prvostupnik,društvene mreže,3,153,0
73,61,muški,srednja,društvene mreže,2,245,0
74,37,muški,srednja,tisak,8,214,49
75,34,muški,viša/prvostupnik,portal,7,103,38
76,49,muški,osnovna,TV,7,208,0
77,29,ženski,viša/prvostupnik,društvene mreže,2,128,0
78,18,muški,viša/prvostupnik,društvene mreže,8,168,0
79,34,muški,viša/prvostupnik,radio,4,189,0
80,48,ženski,viša/prvostupnik,TV,9,26,0
81,50,ženski,srednja,TV,6,201,0
82,29,ženski,srednja,TV,6,154,40
83,43,muški,srednja,portal,4,177,17
84,80,ženski,osnovna,TV,5,225,0
85,20,ženski,magistar/doktor,društvene mreže,3,213,0
86,27,muški,srednja,portal,6,218,0
87,27,muški,srednja,portal,7,235,0
88,48,ženski,viša/prvostupnik,TV,7,187,62
89,56,ženski,srednja,TV,7,357,0
90,65,ženski,magistar/doktor,TV,5,185,60
91,55,ženski,viša/prvostupnik,društvene mreže,3,328,49
92,25,ženski,magistar/doktor,portal,8,173,47
93,45,muški,osnovna,tisak,2,128,14
94,22,muški,srednja,društvene mreže,2,148,0
95,54,muški,magistar/doktor,TV,8,143,0
96,40,ženski,srednja,društvene mreže,3,135,11
97,49,ženski,viša/prvostupnik,radio,6,107,59
98,59,muški,osnovna,portal,6,266,31
99,31,ženski,viša/prvostupnik,društvene mreže,3,172,72
100,33,ženski,srednja,društvene mreže,4,130,0
101,58,muški,srednja,portal,6,261,0
102,37,muški,viša/prvostupnik,društvene mreže,3,195,0
103,62,ženski,srednja,TV,6,241,0
104,52,muški,viša/prvostupnik,portal,3,182,71
105,20,muški,srednja,portal,5,232,0
106,30,ženski,viša/prvostupnik,portal,5,209,65
107,34,ženski,srednja,društvene mreže,7,169,0
108,51,ženski,viša/prvostupnik,društvene mreže,2,268,0
109,80,ženski,srednja,portal,4,254,0
110,38,ženski,viša/prvostupnik,TV,4,140,0
111,52,ženski,srednja,tisak,8,221,0
112,19,ženski,srednja,portal,7,178,38
113,50,muški,osnovna,tisak,8,173,46
114,23,ženski,srednja,društvene mreže,1,136,0
115,68,ženski,srednja,TV,4,118,28
116,24,muški,srednja,portal,4,104,0
117,28,muški,magistar/doktor,portal,5,279,0
118,25,muški,viša/prvostupnik,društvene mreže,1,191,0
119,51,muški,osnovna,radio,4,175,0
120,65,muški,srednja,TV,7,258,0
121,53,muški,magistar/doktor,tisak,1,10,55
122,39,ženski,magistar/doktor,društvene mreže,4,72,0
123,61,ženski,viša/prvostupnik,TV,5,169,70
124,64,ženski,srednja,TV,5,285,0
125,42,muški,magistar/doktor,portal,8,263,30
126,52,ženski,magistar/doktor,portal,8,294,0
127,51,ženski,magistar/doktor,portal,6,192,20
128,28,ženski,srednja,društvene mreže,3,242,0
129,31,muški,magistar/doktor,tisak,5,143,51
130,53,muški,magistar/doktor,radio,5,191,0
131,52,ženski,viša/prvostupnik,TV,4,200,0
132,39,ženski,srednja,TV,4,174,0
133,29,muški,viša/prvostupnik,društvene mreže,4,253,0
134,32,muški,osnovna,portal,5,117,0
135,35,ženski,srednja,društvene mreže,6,118,35
136,47,muški,osnovna,portal,2,203,22
137,51,ženski,srednja,društvene mreže,2,196,0
138,25,ženski,viša/prvostupnik,društvene mreže,4,245,0
139,49,ženski,osnovna,tisak,6,194,0
140,36,muški,srednja,društvene mreže,1,104,0
141,41,muški,magistar/doktor,portal,8,187,0
142,65,ženski,osnovna,tisak,5,216,46
143,78,muški,srednja,radio,6,178,0
144,37,ženski,srednja,portal,4,186,0
145,42,muški,srednja,portal,5,123,0
146,31,muški,srednja,društvene mreže,9,142,0
147,29,muški,viša/prvostupnik,portal,4,35,0
148,68,muški,srednja,društvene mreže,3,205,0
149,21,muški,srednja,portal,5,318,0
150,32,ženski,viša/prvostupnik,tisak,8,182,0
151,58,ženski,osnovna,portal,5,218,0
152,50,muški,srednja,portal,3,210,0
153,55,ženski,srednja,portal,1,10,0
154,23,muški,viša/prvostupnik,portal,4,170,0
155,34,ženski,viša/prvostupnik,radio,4,171,0
156,31,ženski,srednja,društvene mreže,7,214,0
157,18,muški,srednja,društvene mreže,3,149,0
158,29,muški,magistar/doktor,društvene mreže,1,290,0
159,27,muški,srednja,tisak,4,71,0
160,22,muški,srednja,društvene mreže,5,186,50
161,32,muški,viša/prvostupnik,portal,5,172,56
162,55,muški,osnovna,društvene mreže,3,162,0
163,33,muški,viša/prvostupnik,društvene mreže,8,116,0
164,21,ženski,srednja,društvene mreže,3,127,20
165,20,muški,srednja,društvene mreže,1,204,0
166,37,muški,viša/prvostupnik,društvene mreže,4,176,0
167,23,ženski,srednja,društvene mreže,5,165,0
168,20,muški,srednja,društvene mreže,3,235,46
169,76,muški,srednja,TV,6,281,0
170,52,muški,viša/prvostupnik,TV,7,196,0
171,30,ženski,viša/prvostupnik,TV,4,90,66
172,41,muški,srednja,društvene mreže,3,288,20
173,69,muški,srednja,portal,7,214,19
174,45,muški,osnovna,portal,3,102,0
175,36,muški,viša/prvostupnik,portal,4,206,0
176,51,muški,srednja,portal,2,185,0
177,31,ženski,srednja,društvene mreže,2,141,10
178,28,ženski,srednja,tisak,6,236,0
179,67,ženski,viša/prvostupnik,TV,5,134,0
180,27,muški,viša/prvostupnik,portal,5,203,0
181,51,muški,magistar/doktor,TV,8,138,0
182,53,ženski,osnovna,radio,1,276,0
183,44,muški,srednja,društvene mreže,3,10,0
184,46,muški,viša/prvostupnik,portal,6,145,28
185,56,muški,srednja,društvene mreže,1,213,16
186,26,ženski,magistar/doktor,društvene mreže,5,265,27
187,27,ženski,osnovna,portal,5,174,0
188,46,ženski,srednja,društvene mreže,6,52,36
189,33,muški,srednja,radio,5,189,0
190,53,ženski,srednja,portal,6,273,0
191,40,muški,viša/prvostupnik,portal,2,36,51
192,58,muški,srednja,TV,4,216,0
193,41,muški,magistar/doktor,portal,5,66,45
194,20,ženski,srednja,društvene mreže,1,186,0
195,53,ženski,osnovna,portal,6,172,0
196,66,muški,srednja,TV,5,176,0
197,35,ženski,magistar/doktor,portal,7,207,76
198,30,muški,srednja,portal,7,149,0
199,47,ženski,viša/prvostupnik,radio,9,22,0
200,19,ženski,srednja,portal,5,214,0
201,57,ženski,viša/prvostupnik,tisak,5,174,0
202,38,muški,magistar/doktor,društvene mreže,3,37,0
203,37,ženski,srednja,TV,7,118,17
204,64,ženski,srednja,društvene mreže,5,32,48
205,30,ženski,osnovna,društvene mreže,5,210,39
206,74,ženski,srednja,radio,5,167,0
207,40,ženski,viša/prvostupnik,društvene mreže,5,101,0
208,32,ženski,magistar/doktor,portal,6,133,46
209,36,muški,magistar/doktor,društvene mreže,1,125,77
210,26,muški,srednja,društvene mreže,2,230,0
211,71,ženski,viša/prvostupnik,TV,7,180,0
212,42,muški,magistar/doktor,TV,6,136,0
213,73,muški,srednja,TV,3,179,0
214,26,muški,magistar/doktor,društvene mreže,4,136,60
215,43,ženski,srednja,portal,8,156,0
216,55,muški,srednja,portal,4,131,0
217,69,ženski,viša/prvostupnik,tisak,8,293,0
218,57,muški,viša/prvostupnik,društvene mreže,3,96,79
219,40,muški,srednja,portal,4,77,0
220,80,muški,srednja,tisak,4,238,27
221,44,muški,osnovna,društvene mreže,6,195,0
222,18,muški,srednja,portal,5,111,0
223,60,ženski,magistar/doktor,TV,6,187,65
224,27,muški,magistar/doktor,portal,4,324,0
225,63,ženski,srednja,portal,7,225,0
226,49,muški,srednja,portal,6,127,34
227,18,muški,srednja,radio,7,216,26
228,37,ženski,viša/prvostupnik,portal,4,207,0
229,19,ženski,magistar/doktor,društvene mreže,4,115,0
230,54,ženski,srednja,tisak,4,94,0
231,52,ženski,srednja,tisak,4,187,10
232,43,muški,magistar/doktor,društvene mreže,6,77,0
233,71,muški,srednja,TV,6,126,0
234,48,muški,viša/prvostupnik,tisak,10,76,0
235,78,muški,osnovna,portal,4,335,0
236,64,muški,osnovna,TV,7,140,0
237,29,ženski,srednja,TV,3,194,0
238,42,muški,viša/prvostupnik,društvene mreže,3,112,0
239,22,ženski,srednja,društvene mreže,5,330,29
240,39,muški,magistar/doktor,TV,4,104,0
241,26,muški,srednja,društvene mreže,5,161,0
242,38,muški,srednja,portal,6,150,0
243,29,muški,viša/prvostupnik,portal,5,228,65
244,49,ženski,osnovna,radio,6,196,0
245,57,ženski,srednja,portal,5,269,0
246,29,ženski,srednja,društvene mreže,4,223,0
247,57,ženski,srednja,portal,5,256,12
248,23,ženski,magistar/doktor,portal,7,207,0
249,30,ženski,viša/prvostupnik,TV,5,81,0
250,23,ženski,srednja,tisak,9,266,0
251,45,muški,osnovna,portal,2,274,0
252,61,ženski,magistar/doktor,TV,8,239,49
253,63,muški,srednja,TV,7,181,14
254,71,ženski,osnovna,TV,4,210,0
255,30,ženski,magistar/doktor,društvene mreže,8,156,0
256,18,ženski,osnovna,portal,8,188,0
257,54,ženski,srednja,TV,6,278,48
258,30,muški,viša/prvostupnik,tisak,5,188,0
259,48,muški,srednja,portal,8,169,0
260,20,ženski,viša/prvostupnik,portal,4,14,0
261,38,ženski,magistar/doktor,društvene mreže,4,166,26
262,42,muški,viša/prvostupnik,portal,7,89,27
263,66,muški,srednja,portal,7,123,0
264,61,muški,magistar/doktor,portal,6,203,0
265,29,ženski,srednja,društvene mreže,3,115,0
266,19,ženski,srednja,TV,3,171,31
267,72,muški,srednja,radio,4,256,0
268,56,muški,srednja,tisak,5,262,0
269,74,muški,osnovna,društvene mreže,1,162,0
270,22,ženski,viša/prvostupnik,portal,4,175,0
271,63,muški,srednja,društvene mreže,4,179,21
272,31,muški,srednja,društvene mreže,6,155,0
273,49,muški,osnovna,portal,7,122,0
274,23,ženski,viša/prvostupnik,društvene mreže,2,256,0
275,22,muški,viša/prvostupnik,društvene mreže,2,80,0
276,51,ženski,srednja,tisak,7,98,0
277,47,ženski,srednja,portal,5,107,0
278,22,ženski,srednja,društvene mreže,3,140,0
279,41,muški,srednja,društvene mreže,5,165,38
280,34,ženski,osnovna,društvene mreže,5,139,0
281,68,ženski,osnovna,radio,6,255,0
282,32,muški,srednja,portal,2,66,0
283,44,ženski,srednja,društvene mreže,1,157,0
284,76,muški,srednja,radio,2,123,0
285,50,muški,srednja,TV,5,194,0
286,41,ženski,viša/prvostupnik,portal,3,183,0
287,20,muški,srednja,portal,1,147,0
288,50,muški,viša/prvostupnik,portal,7,242,0
289,35,ženski,viša/prvostupnik,portal,4,175,67
290,59,muški,srednja,portal,6,209,46
291,53,ženski,srednja,društvene mreže,4,173,36
292,65,ženski,srednja,TV,2,204,30
293,18,muški,viša/prvostupnik,portal,10,87,0
294,71,muški,srednja,radio,7,192,0
295,48,muški,viša/prvostupnik,portal,3,169,42
296,53,ženski,srednja,portal,5,244,16
297,39,muški,viša/prvostupnik,radio,2,222,0
298,52,muški,srednja,portal,3,240,0
299,58,muški,magistar/doktor,radio,8,140,66
300,53,muški,viša/prvostupnik,portal,6,248,0
301,61,ženski,srednja,TV,1,227,0
302,20,muški,srednja,društvene mreže,1,246,0
303,65,ženski,srednja,društvene mreže,4,165,0
304,45,ženski,srednja,portal,6,93,21
305,30,muški,magistar/doktor,portal,3,273,0
306,42,muški,viša/prvostupnik,portal,7,156,27
307,28,ženski,magistar/doktor,društvene mreže,3,236,58
308,24,ženski,srednja,društvene mreže,5,180,0
309,29,ženski,srednja,tisak,6,165,0
310,66,ženski,viša/prvostupnik,TV,9,320,56
311,61,ženski,srednja,TV,5,168,0
312,52,muški,osnovna,TV,4,387,0
313,63,muški,osnovna,TV,3,158,0
314,29,ženski,magistar/doktor,portal,6,149,67
315,24,ženski,srednja,radio,7,121,0
316,50,ženski,magistar/doktor,društvene mreže,6,138,0
317,25,ženski,viša/prvostupnik,portal,7,191,0
318,26,ženski,osnovna,portal,5,194,0
319,21,ženski,srednja,društvene mreže,6,255,0
320,18,ženski,viša/prvostupnik,portal,3,132,0
321,57,ženski,viša/prvostupnik,tisak,6,301,39
322,21,ženski,magistar/doktor,portal,7,215,0
323,58,muški,viša/prvostupnik,radio,5,48,47
324,20,ženski,srednja,portal,7,264,0
325,43,ženski,magistar/doktor,portal,6,124,0
326,62,muški,srednja,TV,4,271,0
327,41,muški,srednja,društvene mreže,1,163,0
328,80,muški,magistar/doktor,tisak,7,161,36
329,71,muški,osnovna,TV,4,265,0
330,24,muški,srednja,tisak,9,129,0
331,29,ženski,srednja,portal,4,248,40
332,52,ženski,viša/prvostupnik,društvene mreže,4,209,0
333,40,muški,srednja,radio,3,138,0
334,18,muški,srednja,društvene mreže,4,143,13
335,44,muški,osnovna,društvene mreže,3,88,0
336,64,muški,magistar/doktor,TV,5,299,0
337,19,ženski,srednja,portal,9,214,33
338,42,ženski,magistar/doktor,portal,3,136,0
339,62,ženski,srednja,tisak,5,120,0
340,26,muški,viša/prvostupnik,društvene mreže,4,177,71
341,54,ženski,magistar/doktor,portal,3,273,0
342,37,ženski,srednja,radio,8,132,0
343,53,muški,srednja,TV,4,221,30
344,79,ženski,srednja,TV,4,207,0
345,44,muški,viša/prvostupnik,društvene mreže,2,143,79
346,50,muški,osnovna,portal,5,318,0
347,50,muški,srednja,radio,6,137,47
348,42,ženski,viša/prvostupnik,portal,4,181,0
349,18,muški,viša/prvostupnik,portal,8,208,30
350,49,ženski,srednja,tisak,7,202,0
351,27,ženski,magistar/doktor,društvene mreže,3,95,63
352,31,ženski,viša/prvostupnik,portal,9,206,41
353,40,ženski,viša/prvostupnik,portal,6,62,0
354,49,ženski,viša/prvostupnik,TV,6,48,49
355,31,muški,magistar/doktor,društvene mreže,5,164,62
356,30,muški,viša/prvostupnik,portal,7,220,0
357,62,muški,srednja,radio,5,138,0
358,29,muški,viša/prvostupnik,portal,6,176,0
359,79,muški,viša/prvostupnik,TV,6,225,24
360,56,ženski,osnovna,TV,7,61,0
361,41,ženski,magistar/doktor,TV,5,103,0
362,18,muški,srednja,portal,4,173,0
363,62,ženski,srednja,TV,8,138,0
364,44,muški,viša/prvostupnik,društvene mreže,4,221,41
365,60,muški,srednja,portal,6,169,0
366,21,ženski,osnovna,portal,9,225,27
367,31,ženski,viša/prvostupnik,društvene mreže,6,236,0
368,20,muški,srednja,društvene mreže,3,132,0
369,27,ženski,viša/prvostupnik,portal,6,118,49
370,57,ženski,srednja,portal,4,188,0
371,35,muški,magistar/doktor,portal,4,234,80
372,54,muški,viša/prvostupnik,TV,7,303,0
373,30,muški,viša/prvostupnik,portal,5,147,0
374,42,muški,srednja,društvene mreže,5,109,0
375,20,ženski,osnovna,društvene mreže,9,201,48
376,68,muški,srednja,tisak,8,238,20
377,19,ženski,viša/prvostupnik,portal,8,117,21
378,37,muški,viša/prvostupnik,portal,5,85,0
379,63,muški,viša/prvostupnik,radio,10,97,0
380,33,ženski,srednja,portal,4,154,0
381,43,muški,viša/prvostupnik,portal,4,101,0
382,43,ženski,viša/prvostupnik,radio,8,210,0
383,26,ženski,viša/prvostupnik,portal,6,180,0
384,71,ženski,osnovna,portal,3,323,0
385,18,ženski,srednja,TV,6,254,0
386,32,ženski,osnovna,društvene mreže,5,169,0
387,59,muški,viša/prvostupnik,TV,8,265,30
388,61,muški,viša/prvostupnik,portal,6,217,44
389,62,ženski,viša/prvostupnik,radio,5,167,0
390,75,ženski,srednja,TV,5,52,0
391,25,muški,osnovna,društvene mreže,1,235,36
392,35,muški,magistar/doktor,radio,5,91,0
393,42,muški,viša/prvostupnik,portal,6,145,0
394,41,muški,srednja,portal,5,161,0
395,42,muški,viša/prvostupnik,društvene mreže,4,155,0
396,28,muški,viša/prvostupnik,portal,6,248,0
397,43,muški,viša/prvostupnik,portal,5,145,59
398,33,ženski,magistar/doktor,tisak,6,175,0
399,56,ženski,viša/prvostupnik,radio,1,94,42
400,30,ženski,viša/prvostupnik,radio,5,210,28
401,78,ženski,osnovna,tisak,5,230,0
402,29,ženski,magistar/doktor,portal,7,152,0
403,47,muški,srednja,portal,5,237,0
404,59,muški,srednja,TV,4,257,11
405,41,muški,srednja,društvene mreže,2,107,28
406,27,ženski,magistar/doktor,portal,4,238,62
407,27,ženski,srednja,portal,4,168,22
408,35,ženski,magistar/doktor,TV,5,240,0
409,32,ženski,magistar/doktor,portal,5,141,0
410,20,muški,magistar/doktor,TV,5,176,0
411,63,muški,srednja,tisak,5,228,0
412,52,ženski,srednja,društvene mreže,4,37,0
413,20,ženski,srednja,društvene mreže,2,211,0
414,71,muški,magistar/doktor,TV,7,87,0
415,32,ženski,srednja,portal,5,151,0
416,24,muški,srednja,društvene mreže,2,301,0
417,43,muški,magistar/doktor,društvene mreže,4,135,49
418,43,ženski,viša/prvostupnik,TV,6,106,0
419,76,ženski,osnovna,TV,3,165,25
420,57,muški,viša/prvostupnik,portal,6,301,0
421,39,muški,srednja,portal,2,105,0
422,51,ženski,viša/prvostupnik,portal,3,80,0
423,39,ženski,srednja,portal,1,133,0
424,76,muški,srednja,radio,8,203,0
425,24,muški,srednja,društvene mreže,4,283,27
426,67,ženski,osnovna,tisak,6,211,0
427,36,muški,srednja,društvene mreže,1,21,0
428,31,muški,srednja,portal,7,203,0
429,18,ženski,srednja,društvene mreže,2,159,49
430,23,muški,osnovna,društvene mreže,3,197,0
431,37,ženski,srednja,društvene mreže,2,122,20
432,26,ženski,srednja,društvene mreže,6,282,15
433,59,ženski,srednja,društvene mreže,4,94,0
434,19,ženski,srednja,portal,6,118,29
435,33,ženski,srednja,radio,8,168,28
436,27,muški,viša/prvostupnik,društvene mreže,3,288,44
437,37,ženski,viša/prvostupnik,TV,6,127,79
438,41,muški,srednja,društvene mreže,4,257,0
439,51,muški,osnovna,TV,8,387,15
440,80,muški,osnovna,portal,5,156,44
441,38,ženski,srednja,portal,5,252,0
442,40,muški,srednja,portal,6,136,0
443,42,ženski,srednja,portal,4,204,0
444,51,ženski,srednja,portal,7,123,42
445,28,muški,srednja,portal,7,130,0
446,37,ženski,magistar/doktor,društvene mreže,2,181,0
447,31,muški,magistar/doktor,društvene mreže,7,174,0
448,37,ženski,viša/prvostupnik,portal,3,195,0
449,59,muški,viša/prvostupnik,radio,6,218,0
450,40,ženski,srednja,društvene mreže,3,190,0
451,34,ženski,viša/prvostupnik,portal,6,355,0
452,74,ženski,osnovna,TV,3,135,0
453,26,muški,viša/prvostupnik,tisak,7,128,0
454,41,muški,srednja,tisak,5,153,0
455,26,muški,osnovna,radio,9,225,0
456,48,ženski,srednja,TV,5,153,0
457,35,muški,viša/prvostupnik,portal,5,161,0
458,56,muški,osnovna,radio,8,217,0
459,25,muški,srednja,društvene mreže,4,193,0
460,21,ženski,osnovna,društvene mreže,4,189,0
461,20,muški,srednja,portal,4,267,0
462,39,ženski,viša/prvostupnik,društvene mreže,7,66,53
463,36,ženski,magistar/doktor,društvene mreže,1,53,0
464,19,ženski,viša/prvostupnik,društvene mreže,2,141,38
465,50,ženski,srednja,tisak,1,118,0
466,41,muški,magistar/doktor,tisak,9,270,0
467,48,muški,viša/prvostupnik,TV,4,157,0
468,45,muški,viša/prvostupnik,TV,5,69,0
469,23,muški,srednja,radio,7,111,44
470,64,muški,osnovna,radio,5,87,0
471,54,muški,osnovna,društvene mreže,2,253,0
472,59,muški,srednja,portal,6,246,0
473,34,muški,magistar/doktor,TV,4,207,0
474,74,muški,srednja,radio,6,127,0
475,35,ženski,osnovna,portal,6,156,0
476,41,muški,viša/prvostupnik,TV,7,165,35
477,64,muški,srednja,portal,4,141,0
478,43,ženski,srednja,radio,3,172,15
479,18,ženski,srednja,radio,5,213,49
480,36,ženski,viša/prvostupnik,radio,3,142,0
481,21,muški,srednja,portal,4,171,0
482,46,ženski,srednja,TV,3,154,17
483,31,ženski,magistar/doktor,društvene mreže,7,145,0
484,37,muški,srednja,portal,4,54,0
485,61,ženski,osnovna,TV,7,126,17
486,32,muški,viša/prvostupnik,TV,7,195,0
487,34,ženski,viša/prvostupnik,portal,5,124,24
488,68,muški,srednja,TV,8,278,0
489,49,muški,viša/prvostupnik,društvene mreže,2,98,45
490,38,ženski,srednja,društvene mreže,3,187,0
491,47,ženski,viša/prvostupnik,društvene mreže,2,41,0
492,67,muški,srednja,radio,6,71,0
493,80,muški,srednja,radio,4,117,45
494,36,ženski,viša/prvostupnik,TV,4,117,36
495,72,ženski,srednja,portal,5,300,36
496,48,muški,srednja,TV,6,157,0
497,44,muški,viša/prvostupnik,radio,6,106,0
498,27,ženski,srednja,radio,8,288,0
499,72,ženski,viša/prvostupnik,TV,6,214,0
500,22,ženski,viša/prvostupnik,portal,3,259,0
501,21,ženski,viša/prvostupnik,društvene mreže,4,231,30
502,57,muški,srednja,portal,3,215,0
503,21,ženski,srednja,portal,7,270,0
504,55,ženski,viša/prvostupnik,portal,5,132,0
505,68,ženski,viša/prvostupnik,TV,6,275,0
506,39,ženski,viša/prvostupnik,portal,7,216,21
507,29,ženski,srednja,portal,5,80,0
508,22,muški,srednja,društvene mreže,6,53,0
509,80,ženski,srednja,TV,5,209,0
510,35,muški,srednja,društvene mreže,3,117,16
511,28,ženski,magistar/doktor,društvene mreže,4,271,76
512,39,ženski,viša/prvostupnik,portal,4,133,57
513,21,muški,srednja,portal,6,172,39
514,24,ženski,viša/prvostupnik,društvene mreže,4,134,0
515,32,ženski,viša/prvostupnik,TV,5,111,40
516,46,muški,viša/prvostupnik,portal,1,128,0
517,35,ženski,magistar/doktor,portal,4,183,79
518,34,muški,srednja,portal,8,206,0
519,56,muški,srednja,TV,5,220,32
520,42,ženski,srednja,portal,2,245,0
521,28,ženski,magistar/doktor,radio,8,61,0
522,26,muški,srednja,društvene mreže,2,275,0
523,31,ženski,magistar/doktor,društvene mreže,3,222,0
524,28,ženski,osnovna,društvene mreže,3,278,0
525,51,ženski,srednja,portal,6,155,0
526,23,muški,srednja,društvene mreže,4,139,0
527,44,muški,srednja,portal,4,113,0
528,54,muški,viša/prvostupnik,radio,5,303,0
529,33,muški,magistar/doktor,portal,4,134,0
530,47,ženski,viša/prvostupnik,portal,6,109,30
531,40,muški,magistar/doktor,društvene mreže,4,134,0
532,27,ženski,srednja,tisak,6,227,0
533,63,muški,srednja,TV,6,238,0
534,26,muški,magistar/doktor,društvene mreže,4,218,0
535,29,ženski,srednja,TV,3,174,0
536,21,muški,viša/prvostupnik,društvene mreže,6,92,0
537,49,ženski,srednja,portal,3,142,0
538,62,muški,srednja,TV,7,162,0
539,59,muški,srednja,društvene mreže,3,160,0
540,23,muški,srednja,portal,3,204,0
541,30,muški,srednja,portal,9,113,0
542,49,ženski,srednja,društvene mreže,4,141,0
543,59,ženski,osnovna,tisak,5,10,0
544,60,muški,viša/prvostupnik,radio,5,180,0
545,43,muški,magistar/doktor,TV,5,133,24
546,55,muški,magistar/doktor,TV,9,78,0
547,34,muški,srednja,društvene mreže,2,97,0
548,78,muški,osnovna,društvene mreže,2,317,0
549,59,muški,srednja,TV,5,304,0
550,34,ženski,viša/prvostupnik,radio,2,70,0
551,34,muški,magistar/doktor,tisak,6,212,37
552,63,ženski,osnovna,TV,5,146,0
553,56,ženski,osnovna,tisak,7,204,0
554,29,muški,viša/prvostupnik,društvene mreže,3,261,56
555,55,muški,viša/prvostupnik,portal,7,202,52
556,44,ženski,viša/prvostupnik,društvene mreže,2,233,0
557,36,ženski,srednja,portal,6,178,0
558,21,ženski,srednja,portal,5,178,0
559,35,muški,srednja,portal,7,196,15
560,50,ženski,srednja,radio,9,276,0
561,43,muški,magistar/doktor,portal,7,197,0
562,27,muški,srednja,portal,6,63,0
563,25,ženski,srednja,portal,5,160,0
564,42,ženski,magistar/doktor,društvene mreže,7,144,0
565,58,ženski,magistar/doktor,TV,7,127,0
566,30,ženski,srednja,TV,6,180,0
567,63,muški,magistar/doktor,TV,4,195,0
568,18,ženski,srednja,društvene mreže,3,239,0
569,25,muški,viša/prvostupnik,portal,5,311,12
570,45,ženski,magistar/doktor,radio,8,159,25
571,69,muški,srednja,TV,8,282,0
572,47,muški,srednja,portal,5,190,0
573,50,muški,srednja,TV,3,252,0
574,33,muški,srednja,TV,4,171,0
575,77,muški,srednja,društvene mreže,4,131,15
576,24,ženski,osnovna,društvene mreže,5,146,42
577,61,muški,srednja,društvene mreže,2,242,0
578,52,muški,srednja,TV,10,99,0
