post_id,platform,content_type,followers,likes,shares,comments,hashtags,post_hour,day_of_week,is_viral
35,Twitter/X,tekst,43689,808,28,85,2,7,ponedjeljak,False
36,Instagram,slika,213699,3924,203,364,6,11,subota,False
37,Facebook,tekst,1704,12,0,0,5,20,srijeda,False
38,Facebook,tekst,289,4,1,0,3,9,utorak,False
39,Instagram,reel,6705,94,13,6,8,11,cetvrtak,False
40,Twitter/X,tekst,3589,32,5,1,4,19,subota,False
41,Instagram,reel,127,1,0,0,5,11,nedjelja,False
42,LinkedIn,slika,12050,77,3,2,3,7,petak,False
43,LinkedIn,tekst,31097,276,21,30,4,8,subota,False
44,Instagram,reel,6810,304,19,8,16,16,cetvrtak,False
45,YouTube,story,32542,314,88,17,0,19,cetvrtak,False
46,TikTok,reel,606,27,3,2,8,11,utorak,False
47,TikTok,reel,867,53,1,1,0,14,petak,False
48,Twitter/X,tekst,549,16,1,1,7,12,nedjelja,False
49,Twitter/X,story,1667,69,17,6,7,8,subota,False
50,Instagram,reel,131762,16345,2051,734,18,13,ponedjeljak,False
51,Instagram,carousel,1570,9,1,0,4,16,nedjelja,False
52,TikTok,slika,316,6,1,0,10,14,petak,False
53,Twitter/X,tekst,3886,38,6,2,4,16,ponedjeljak,False
54,YouTube,video,1190,77,3,1,3,13,srijeda,False
55,Facebook,slika,9221,461,46,15,4,10,petak,False
56,TikTok,video,3580,89,29,3,16,5,ponedjeljak,False
57,YouTube,story,343,35,1,0,0,4,utorak,False
58,TikTok,reel,10153,173,34,15,8,9,utorak,False
59,TikTok,video,1500,104,8,6,17,20,ponedjeljak,False
60,TikTok,carousel,1750,53,5,1,3,6,petak,False
61,Twitter/X,tekst,734,13,0,0,2,12,ponedjeljak,False
62,TikTok,reel,2330,99,8,6,20,8,utorak,False
63,Instagram,reel,2456,87,27,7,15,11,petak,False
64,Instagram,slika,5827,134,23,2,14,6,petak,False
65,Facebook,video,22019,1264,238,150,1,12,petak,False
66,YouTube,video,1753,65,13,6,0,9,cetvrtak,False
67,Instagram,reel,15102,683,28,52,13,9,petak,False
68,YouTube,story,62774,884,116,92,6,0,petak,False
69,Instagram,carousel,9737,400,43,20,9,11,srijeda,False
70,Twitter/X,tekst,2311,33,4,0,0,21,utorak,False
71,Facebook,slika,84290,3217,291,43,2,13,utorak,False
72,Twitter/X,tekst,1647,28,2,3,4,12,petak,False
73,Facebook,slika,462685,2154,134,118,2,17,petak,False
74,TikTok,story,1053,19,1,1,12,8,cetvrtak,False
75,Instagram,video,933,71,12,3,14,18,nedjelja,False
76,TikTok,video,13123,1033,184,16,10,9,cetvrtak,False
77,TikTok,video,100,8,1,0,12,22,ponedjeljak,False
78,Facebook,carousel,6889,239,17,8,9,15,subota,False
79,Instagram,reel,31555,630,77,29,14,21,petak,False
80,YouTube,video,10289,1217,163,84,4,12,petak,False
81,Twitter/X,tekst,8640,445,56,18,1,11,nedjelja,False
82,Facebook,tekst,2078,20,1,0,0,8,petak,False
83,Twitter/X,tekst,949,20,0,0,4,8,cetvrtak,False
84,TikTok,reel,12986,3578,643,502,18,16,utorak,True
85,LinkedIn,tekst,8216,382,78,19,7,19,srijeda,False
86,TikTok,video,3404,265,53,33,11,17,ponedjeljak,False
87,Instagram,story,9014,582,19,9,13,2,ponedjeljak,False
88,Instagram,video,17287,896,164,35,24,12,cetvrtak,False
89,Facebook,video,60935,196,22,7,3,19,utorak,False
90,Facebook,slika,14215,284,42,14,0,1,ponedjeljak,False
91,Twitter/X,carousel,7202,35,2,4,4,12,ponedjeljak,False
92,Twitter/X,slika,1901,49,7,0,1,14,petak,False
93,YouTube,tekst,63634,5925,927,444,3,21,srijeda,False
94,LinkedIn,carousel,2942,123,20,2,6,8,nedjelja,False
95,Facebook,carousel,1363,59,18,5,0,9,utorak,False
96,Facebook,video,2498,81,10,3,1,20,petak,False
97,TikTok,reel,421,18,1,0,17,13,nedjelja,False
98,LinkedIn,carousel,38370,4340,1316,122,5,16,srijeda,False
99,Instagram,story,2842,121,16,4,14,16,utorak,False
100,Instagram,slika,1414,7,0,0,11,9,nedjelja,False
101,Twitter/X,tekst,41286,270,38,4,0,6,nedjelja,False
102,YouTube,reel,348067,18187,1444,2613,0,17,subota,False
103,Facebook,slika,1705,124,3,11,0,14,ponedjeljak,False
104,Instagram,carousel,2542,185,34,4,0,13,ponedjeljak,False
105,Facebook,story,4084,340,67,20,6,18,cetvrtak,False
106,TikTok,video,154687,15575,1145,152,0,9,cetvrtak,False
107,Facebook,reel,18665,1069,69,82,3,18,cetvrtak,False
108,Twitter/X,story,242,11,1,0,5,9,utorak,False
109,Twitter/X,tekst,10978,127,6,12,3,11,utorak,False
110,Facebook,slika,10665,44,10,4,6,23,nedjelja,False
111,TikTok,story,9971,0,0,0,12,12,utorak,False
112,Facebook,story,4235,63,2,3,0,23,cetvrtak,False
113,TikTok,video,9355,207,56,18,26,23,cetvrtak,False
114,Facebook,carousel,17290,310,38,27,5,9,cetvrtak,False
115,YouTube,video,9862,1115,31,18,0,11,srijeda,False
116,TikTok,tekst,7767,33,2,1,6,22,utorak,False
117,TikTok,video,1307,19,4,1,15,13,petak,False
118,LinkedIn,tekst,1568,0,0,0,4,14,srijeda,False
119,YouTube,video,4291,187,9,9,7,19,srijeda,False
120,TikTok,story,18646,154,15,8,15,23,cetvrtak,False
121,Instagram,tekst,413164,20406,2078,393,17,12,utorak,False
122,Instagram,carousel,1491,0,0,0,10,1,petak,False
123,Instagram,slika,39589,969,29,34,17,19,utorak,False
124,TikTok,reel,6007,133,15,4,13,7,srijeda,False
125,Twitter/X,video,1056,45,3,2,3,12,ponedjeljak,False
126,TikTok,tekst,170,0,0,0,12,17,srijeda,False
127,TikTok,video,5808,248,16,15,16,9,ponedjeljak,False
128,Instagram,carousel,10507,874,220,23,5,21,ponedjeljak,False
129,TikTok,video,2253,92,12,2,22,6,nedjelja,False
130,TikTok,reel,436,0,0,0,23,8,subota,False
131,Instagram,reel,8676,240,50,5,18,16,ponedjeljak,False
132,Twitter/X,tekst,32490,1126,53,63,3,12,cetvrtak,False
133,TikTok,carousel,3503,137,6,2,10,8,petak,False
134,TikTok,story,10939,0,0,0,10,19,subota,False
135,Twitter/X,video,3838,0,0,0,4,9,cetvrtak,False
136,Instagram,story,7206,214,30,5,10,12,cetvrtak,False
137,Facebook,carousel,40169,0,0,0,0,19,srijeda,False
138,Facebook,slika,376,8,1,0,0,13,cetvrtak,False
139,Facebook,tekst,4123,31,1,0,4,19,ponedjeljak,False
140,Twitter/X,tekst,5682,206,24,13,2,15,subota,False
141,Facebook,video,1151,96,8,2,3,9,cetvrtak,False
142,Facebook,slika,845,134,33,13,0,23,nedjelja,False
143,TikTok,reel,35884,5711,623,221,19,22,utorak,False
144,TikTok,video,3902,111,5,4,8,8,utorak,False
145,Instagram,slika,3978,44,6,0,13,9,ponedjeljak,False
146,YouTube,video,23300,2013,112,68,2,15,nedjelja,False
147,TikTok,video,31691,6104,100,263,5,10,cetvrtak,True
148,Instagram,slika,472,20,1,1,13,20,cetvrtak,False
149,Instagram,reel,6298,178,27,6,7,13,nedjelja,False
150,TikTok,reel,1019,58,1,1,4,3,petak,False
151,TikTok,video,8638,693,37,67,7,19,subota,False
152,YouTube,video,1116,79,2,0,5,19,ponedjeljak,False
153,TikTok,video,10878,402,77,20,15,7,ponedjeljak,False
154,Instagram,slika,4560,61,8,7,10,12,srijeda,False
155,Facebook,tekst,5732,134,9,4,0,10,utorak,False
156,Twitter/X,tekst,69652,1284,48,24,4,9,srijeda,False
157,TikTok,video,8465,0,0,0,13,15,utorak,False
158,Facebook,slika,2268,200,28,3,2,18,cetvrtak,False
159,Twitter/X,tekst,31207,1565,42,63,0,12,cetvrtak,False
160,Facebook,slika,18547,1261,58,118,4,17,srijeda,False
161,Facebook,tekst,8374,493,19,52,7,9,cetvrtak,False
162,TikTok,slika,3028,102,27,4,9,17,utorak,False
163,YouTube,carousel,81766,5150,1689,295,4,13,utorak,False
164,Instagram,slika,4102,92,22,4,19,21,srijeda,False
165,TikTok,tekst,11663,0,0,0,19,8,subota,False
166,TikTok,reel,376,74,10,4,10,19,ponedjeljak,True
167,Facebook,video,118427,6664,1339,103,0,9,subota,False
168,TikTok,reel,25707,78,14,3,6,23,ponedjeljak,False
169,Twitter/X,slika,3552,155,6,11,1,5,ponedjeljak,False
170,Instagram,reel,7976,33,0,1,11,15,subota,False
171,LinkedIn,story,3488,73,14,5,7,10,utorak,False
172,Instagram,carousel,4217,136,12,3,11,18,utorak,False
173,Facebook,reel,141,1,0,0,4,18,srijeda,False
174,Facebook,video,28854,684,93,23,4,21,subota,False
175,Facebook,tekst,71681,1014,29,75,0,6,cetvrtak,False
176,TikTok,reel,7271,74,3,1,16,15,cetvrtak,False
177,Facebook,carousel,2442,41,5,1,1,9,utorak,False
178,Instagram,slika,3204,219,26,6,9,17,nedjelja,False
179,Instagram,slika,1524,131,9,4,16,21,utorak,False
180,TikTok,reel,8235,982,31,52,6,21,subota,False
181,TikTok,reel,13255,1967,98,86,7,14,ponedjeljak,False
182,Instagram,carousel,93912,8286,1422,168,9,14,utorak,False
183,YouTube,slika,9209,920,150,102,1,8,ponedjeljak,False
184,Facebook,slika,5011,277,88,15,4,8,subota,False
185,LinkedIn,tekst,11069,697,45,22,2,15,subota,False
186,TikTok,video,15888,1320,89,16,8,18,cetvrtak,False
187,TikTok,video,839,56,12,2,5,19,ponedjeljak,False
188,Twitter/X,tekst,1826,40,4,2,3,13,subota,False
189,Facebook,tekst,17314,434,23,35,3,16,ponedjeljak,False
190,Instagram,slika,4184,438,20,24,8,12,srijeda,False
191,TikTok,reel,5569,519,82,14,16,7,srijeda,False
192,Instagram,carousel,4313,56,4,2,17,8,petak,False
193,YouTube,slika,49097,1691,100,197,4,19,petak,False
194,Instagram,story,6102,0,0,0,8,14,srijeda,False
195,LinkedIn,tekst,4465,148,7,11,3,12,petak,False
196,Instagram,reel,271088,21882,1071,87,13,6,ponedjeljak,False
197,Instagram,story,37253,2717,779,42,12,12,subota,False
198,TikTok,video,10271,190,24,4,21,1,petak,False
199,Facebook,slika,2645,44,4,0,2,2,ponedjeljak,False
200,Instagram,slika,251,8,2,0,27,14,petak,False
201,TikTok,video,705,0,0,0,14,16,cetvrtak,False
202,YouTube,slika,503,8,1,0,7,13,subota,False
203,Instagram,story,11125,391,75,12,16,21,petak,False
204,Instagram,tekst,6762,60,3,1,9,13,srijeda,False
205,TikTok,reel,3043,243,2,19,15,13,nedjelja,False
206,YouTube,video,1553,34,3,1,0,14,srijeda,False
207,Twitter/X,tekst,76606,912,70,101,0,9,petak,False
208,LinkedIn,slika,5211,238,24,3,5,7,subota,False
209,Facebook,tekst,3564,46,3,2,5,16,nedjelja,False
210,Twitter/X,slika,131,4,0,0,4,17,nedjelja,False
211,Instagram,carousel,5224,0,0,0,6,8,nedjelja,False
212,TikTok,reel,1548,32,1,1,10,9,ponedjeljak,False
213,TikTok,reel,6053,520,142,11,17,8,subota,False
214,Twitter/X,tekst,181519,4728,430,289,3,17,srijeda,False
215,Instagram,reel,27557,4031,277,195,7,14,nedjelja,False
216,Facebook,video,29373,137,42,8,0,15,cetvrtak,False
217,Facebook,tekst,75117,1601,41,73,0,7,ponedjeljak,False
218,YouTube,video,787,71,1,3,7,16,utorak,False
219,Facebook,slika,8755,659,170,21,2,6,srijeda,False
220,Facebook,video,263,12,1,0,5,21,nedjelja,False
221,Facebook,carousel,82726,4677,117,346,3,9,srijeda,False
222,Instagram,slika,21444,427,54,22,5,13,srijeda,False
223,YouTube,reel,5471,734,123,10,8,9,utorak,False
224,Facebook,tekst,6722,88,1,3,2,22,cetvrtak,False
225,TikTok,reel,74912,7423,1276,1127,10,7,nedjelja,False
226,TikTok,reel,2217,67,2,3,7,16,cetvrtak,False
227,TikTok,reel,34665,1803,108,158,21,9,srijeda,False
228,Instagram,reel,6453,273,31,7,11,7,subota,False
229,Twitter/X,slika,12154,675,83,8,0,9,nedjelja,False
230,LinkedIn,reel,5025,230,22,9,4,8,utorak,False
231,YouTube,video,6943,506,58,30,3,17,srijeda,False
232,Instagram,reel,1225,25,1,2,7,7,cetvrtak,False
233,Instagram,reel,363,13,0,0,15,8,petak,False
234,YouTube,video,4620,435,18,56,0,17,cetvrtak,False
235,TikTok,reel,73500,3533,313,62,6,13,srijeda,False
236,TikTok,reel,100,2,0,0,15,22,utorak,False
237,Twitter/X,tekst,1226,48,4,5,6,11,cetvrtak,False
238,TikTok,video,2950,283,22,24,11,12,subota,False
239,Instagram,reel,11578,968,267,40,10,14,petak,False
240,Instagram,reel,824,49,3,2,11,16,subota,False
241,Facebook,tekst,2295,6,0,0,0,6,nedjelja,False
242,Facebook,tekst,2338,67,5,5,5,10,utorak,False
243,Instagram,reel,14814,307,31,4,16,10,petak,False
244,Instagram,carousel,1180,27,1,2,10,16,ponedjeljak,False
245,YouTube,story,1519,17,4,2,1,10,subota,False
246,Instagram,slika,262862,11406,1624,95,14,14,subota,False
247,Instagram,carousel,31019,3248,46,215,21,20,utorak,False
248,Facebook,video,142,6,0,0,4,8,srijeda,False
249,Facebook,video,176900,9410,1004,657,0,9,srijeda,False
250,Instagram,tekst,9170,130,14,12,13,9,nedjelja,False
251,TikTok,tekst,26039,1204,55,53,13,1,srijeda,False
252,Instagram,story,1991,8,1,0,18,17,subota,False
253,LinkedIn,story,4744,122,5,3,4,8,ponedjeljak,False
254,TikTok,reel,953708,44184,7256,1708,22,12,utorak,False
255,TikTok,reel,1039,121,18,9,7,11,srijeda,False
256,TikTok,carousel,9916,1065,94,59,17,19,nedjelja,False
257,LinkedIn,slika,2072,187,20,14,4,9,nedjelja,False
258,Twitter/X,tekst,440,9,1,0,5,7,utorak,False
259,Instagram,reel,1713,119,2,2,11,16,ponedjeljak,False
260,Facebook,story,1864,133,20,20,2,7,srijeda,False
261,TikTok,reel,19282,757,225,48,10,16,subota,False
262,Twitter/X,slika,100,4,0,0,9,10,cetvrtak,False
263,Instagram,reel,877,144,12,9,23,15,ponedjeljak,False
264,TikTok,carousel,60327,1724,295,183,22,14,cetvrtak,False
265,Instagram,reel,29072,0,0,0,22,12,utorak,False
266,Instagram,carousel,880,27,0,2,14,18,cetvrtak,False
267,Facebook,story,11405,238,11,8,5,19,nedjelja,False
268,Facebook,story,146309,1937,173,112,0,23,nedjelja,False
269,Twitter/X,story,898,134,3,2,3,10,nedjelja,False
270,Facebook,slika,276,7,0,0,4,14,subota,False
271,LinkedIn,tekst,39922,1024,23,84,3,17,srijeda,False
272,YouTube,reel,15426,1165,193,51,5,19,utorak,False
273,YouTube,video,4645,249,66,7,1,8,srijeda,False
274,Twitter/X,tekst,8201,477,25,23,2,6,srijeda,False
275,YouTube,reel,9548,633,115,37,1,20,utorak,False
276,YouTube,tekst,1453,39,3,0,5,9,srijeda,False
277,Facebook,slika,19767,503,45,3,2,22,cetvrtak,False
278,Twitter/X,tekst,18453,553,57,64,3,17,petak,False
279,Instagram,reel,45991,3505,30,116,10,12,utorak,False
280,Instagram,carousel,2411,194,10,18,13,13,utorak,False
281,Instagram,tekst,56079,781,38,46,10,20,ponedjeljak,False
282,Instagram,carousel,162040,4507,276,53,24,17,ponedjeljak,False
283,TikTok,reel,860,36,0,1,11,17,ponedjeljak,False
284,Instagram,slika,3604,53,9,0,23,18,nedjelja,False
285,Instagram,carousel,6470,390,109,16,14,11,utorak,False
286,YouTube,video,44568,2626,268,181,0,8,nedjelja,False
287,TikTok,reel,5140,14,0,0,14,16,petak,False
288,Instagram,carousel,84284,8618,1757,737,16,10,srijeda,False
289,Facebook,tekst,921,15,1,0,1,10,subota,False
290,Facebook,tekst,124,1,0,0,0,17,ponedjeljak,False
291,LinkedIn,tekst,20845,231,25,14,2,17,cetvrtak,False
292,Instagram,slika,37760,264,27,13,12,17,cetvrtak,False
293,TikTok,video,65350,2083,367,62,10,6,srijeda,False
294,Facebook,carousel,3767,51,9,0,3,8,cetvrtak,False
295,TikTok,reel,6678,436,111,9,12,9,nedjelja,False
296,TikTok,reel,18717,1120,173,59,9,12,subota,False
297,Facebook,slika,1661,66,4,2,2,14,nedjelja,False
298,Instagram,reel,361,48,2,3,14,9,subota,False
299,TikTok,video,280,7,1,0,21,13,subota,False
300,TikTok,reel,1232,153,20,2,1,21,cetvrtak,False
301,Twitter/X,tekst,3353,35,1,0,0,12,subota,False
302,YouTube,video,9765,521,61,16,7,13,subota,False
303,Instagram,carousel,1497,89,2,6,10,16,srijeda,False
304,TikTok,story,6423,573,75,5,11,9,cetvrtak,False
305,LinkedIn,tekst,373,6,0,0,7,15,ponedjeljak,False
306,Twitter/X,story,1620,176,52,0,0,18,petak,False
307,Instagram,carousel,11522,578,122,39,19,15,srijeda,False
308,Facebook,tekst,2264,30,6,1,6,9,cetvrtak,False
309,TikTok,reel,12540,736,142,15,1,21,cetvrtak,False
310,Twitter/X,tekst,2103,107,8,6,5,16,cetvrtak,False
311,TikTok,reel,11666,453,70,17,0,17,petak,False
312,YouTube,video,54547,528,23,11,3,16,srijeda,False
313,Twitter/X,reel,3280,104,30,5,5,18,subota,False
314,LinkedIn,video,10204,810,164,29,2,19,utorak,False
315,Instagram,slika,3191,132,8,3,15,17,srijeda,False
316,YouTube,video,3191,57,4,1,7,12,cetvrtak,False
317,Twitter/X,video,20983,3183,868,368,7,18,utorak,False
318,Twitter/X,tekst,2262,100,7,2,0,10,cetvrtak,False
319,TikTok,reel,7338,228,6,6,11,6,subota,False
320,TikTok,reel,4456,438,21,4,0,15,petak,False
321,Twitter/X,tekst,3078,28,4,1,2,21,cetvrtak,False
322,YouTube,video,321,10,0,0,9,13,srijeda,False
323,Instagram,reel,68398,5251,239,191,3,9,srijeda,False
324,Instagram,slika,10815,214,9,17,7,11,utorak,False
325,YouTube,reel,2045,246,44,10,6,16,petak,False
326,Instagram,carousel,209408,6707,453,201,2,20,utorak,False
327,Instagram,video,3721,83,4,0,10,12,nedjelja,False
328,Instagram,carousel,1045,39,1,3,21,13,cetvrtak,False
329,Facebook,story,2470,46,6,2,3,12,srijeda,False
330,Twitter/X,tekst,2257,55,13,1,2,9,utorak,False
331,YouTube,video,1850,193,36,5,4,18,utorak,False
332,Facebook,tekst,3894,44,9,4,0,22,srijeda,False
333,LinkedIn,tekst,31292,1223,12,125,4,17,petak,False
334,Instagram,reel,699,6,1,0,18,19,srijeda,False
335,TikTok,slika,3630,98,6,2,6,23,petak,False
336,TikTok,reel,4481,137,15,6,14,10,ponedjeljak,False
337,TikTok,slika,1762,30,2,3,18,19,srijeda,False
338,TikTok,reel,457,39,8,1,26,16,utorak,False
339,TikTok,slika,718,81,10,1,16,10,nedjelja,False
340,Instagram,reel,192,12,0,0,9,18,subota,False
341,TikTok,video,33213,3116,146,287,16,12,srijeda,False
342,LinkedIn,tekst,435,21,1,0,4,21,srijeda,False
343,Facebook,reel,10956,1558,36,103,0,21,ponedjeljak,False
344,Instagram,reel,1265,61,2,3,24,7,petak,False
345,YouTube,video,66413,7463,1416,244,0,14,ponedjeljak,False
346,Twitter/X,tekst,33369,978,82,84,0,9,ponedjeljak,False
347,TikTok,video,1387,0,0,0,11,16,srijeda,False
348,Instagram,slika,1322,39,11,3,1,14,cetvrtak,False
349,YouTube,video,992,13,0,0,0,15,nedjelja,False
350,LinkedIn,story,34602,2855,33,186,7,16,ponedjeljak,False
351,TikTok,reel,119494,3877,281,388,11,21,utorak,False
352,Instagram,story,1286840,0,0,0,7,7,utorak,False
353,YouTube,video,4605,100,3,5,4,17,subota,False
354,LinkedIn,tekst,563,6,0,0,1,19,nedjelja,False
355,Instagram,story,93861,2213,159,38,21,19,subota,False
356,TikTok,reel,825,25,1,0,18,14,subota,False
357,Instagram,story,68906,3061,23,386,7,18,nedjelja,False
358,Instagram,reel,5687,0,0,0,17,22,nedjelja,False
359,Facebook,slika,100,6,0,0,0,14,cetvrtak,False
360,TikTok,reel,13785,1272,98,18,14,12,subota,False
361,TikTok,reel,1949,143,33,14,10,17,subota,False
362,Instagram,story,11509,380,30,32,12,7,nedjelja,False
363,YouTube,story,344,2,0,0,2,8,utorak,False
364,TikTok,reel,4351,587,99,4,20,15,cetvrtak,False
365,YouTube,tekst,15679,1030,210,100,3,20,nedjelja,False
366,LinkedIn,tekst,100,1,0,0,1,7,srijeda,False
367,YouTube,video,13986,214,10,24,1,18,srijeda,False
368,Facebook,video,5254,307,48,10,1,11,petak,False
369,TikTok,video,1458,131,16,2,11,16,srijeda,False
370,LinkedIn,slika,3400,342,41,40,3,10,utorak,False
371,Facebook,tekst,445,30,4,1,1,20,srijeda,False
372,Facebook,slika,3199,338,52,19,4,14,subota,False
373,TikTok,carousel,641,11,2,0,10,6,petak,False
374,TikTok,slika,1609,132,31,10,16,14,nedjelja,False
375,LinkedIn,tekst,5442,27,1,0,4,14,srijeda,False
376,TikTok,video,1361,72,23,4,6,10,nedjelja,False
377,Instagram,video,489,20,1,1,22,10,nedjelja,False
378,Instagram,reel,1051831,46499,11033,1139,6,19,cetvrtak,False
379,TikTok,video,9776,1193,270,27,0,12,petak,False
380,Facebook,slika,914,12,2,0,2,15,nedjelja,False
381,TikTok,video,7447,241,21,25,7,4,utorak,False
382,TikTok,slika,361,0,0,0,15,19,srijeda,False
383,TikTok,reel,439,54,13,0,17,10,srijeda,False
384,Instagram,story,23993,347,14,8,14,23,petak,False
385,Twitter/X,tekst,4749,283,19,38,5,22,cetvrtak,False
386,Facebook,slika,47233,1902,108,154,5,9,srijeda,False
387,Instagram,reel,932,155,5,11,28,8,srijeda,False
388,Instagram,story,20330,2218,547,18,9,13,utorak,False
389,TikTok,video,147177,5556,1300,467,10,9,cetvrtak,False
390,Twitter/X,reel,1285,32,6,1,8,15,nedjelja,False
391,Facebook,story,1308,28,3,2,5,9,nedjelja,False
392,Twitter/X,tekst,38016,2922,360,133,3,9,ponedjeljak,False
393,Facebook,video,772,29,4,0,3,14,subota,False
394,LinkedIn,carousel,2491,172,16,12,5,20,petak,False
395,Instagram,video,45087,3994,317,113,20,18,cetvrtak,False
396,YouTube,video,2066,113,20,4,4,18,petak,False
397,Twitter/X,tekst,14361,0,0,0,3,16,nedjelja,False
398,Facebook,tekst,7489,133,15,4,6,12,subota,False
399,Instagram,reel,28088,1925,223,52,13,17,petak,False
400,Twitter/X,video,18218,544,72,61,0,9,utorak,False
401,TikTok,video,4010,598,158,17,15,21,ponedjeljak,False
402,Twitter/X,video,1536,35,2,0,1,10,srijeda,False
403,Instagram,reel,424,11,0,0,13,10,cetvrtak,False
404,LinkedIn,slika,306,3,0,0,0,9,petak,False
405,TikTok,tekst,6676,299,23,4,25,10,subota,False
406,TikTok,reel,5401,621,37,14,7,15,utorak,False
407,Facebook,tekst,481,3,0,0,5,15,petak,False
408,LinkedIn,tekst,120,3,0,0,2,13,subota,False
409,Facebook,slika,10878,183,31,8,2,7,ponedjeljak,False
410,Twitter/X,carousel,477,5,0,0,0,14,petak,False
411,TikTok,reel,586,11,0,0,12,23,srijeda,False
412,Twitter/X,reel,10576,1137,32,129,0,9,nedjelja,False
413,Twitter/X,tekst,11206,983,42,56,8,22,subota,False
414,Facebook,slika,2069,5,0,0,4,5,cetvrtak,False
415,YouTube,reel,2237,109,4,2,2,17,subota,False
416,TikTok,reel,10400,1577,52,95,12,16,petak,False
417,Facebook,reel,5887,747,71,78,0,18,subota,False
418,Instagram,reel,1937,87,20,3,15,12,nedjelja,False
419,Facebook,tekst,1137,0,0,0,7,11,cetvrtak,False
420,TikTok,video,8723,357,51,6,9,11,subota,False
421,TikTok,reel,2895,182,44,17,19,16,ponedjeljak,False
422,TikTok,reel,55439,221,9,8,9,23,srijeda,False
423,TikTok,video,54688,2317,235,63,19,2,ponedjeljak,False
424,Instagram,carousel,61263,4389,491,30,4,12,nedjelja,False
425,TikTok,video,1063,0,0,0,9,9,nedjelja,False
426,YouTube,carousel,1031,74,17,1,3,13,srijeda,False
427,Twitter/X,tekst,11979,216,31,17,5,9,ponedjeljak,False
428,TikTok,video,20249,984,151,23,10,13,subota,False
429,Instagram,story,8084,442,50,17,17,15,petak,False
430,Twitter/X,tekst,7543,38,2,1,5,22,cetvrtak,False
431,Instagram,reel,15248,66,12,2,9,22,subota,False
432,Facebook,tekst,38755,1293,47,117,2,16,subota,False
433,Facebook,reel,3731,162,32,21,0,17,nedjelja,False
434,Instagram,slika,7589,277,19,10,11,21,subota,False
435,Twitter/X,story,1126,71,7,2,3,16,cetvrtak,False
436,Instagram,reel,8644,187,5,5,7,11,nedjelja,False
437,Twitter/X,reel,4370,339,94,26,1,15,srijeda,False
438,TikTok,video,9613,50,2,5,24,9,nedjelja,False
439,Instagram,reel,1784,68,16,1,22,19,nedjelja,False
440,Facebook,video,741,32,10,4,3,7,petak,False
441,Facebook,slika,59218,0,0,0,3,13,petak,False
442,Facebook,tekst,32850,756,205,49,5,16,srijeda,False
443,Instagram,carousel,56838,7254,1330,750,12,19,utorak,False
444,TikTok,reel,1155,46,10,4,7,2,ponedjeljak,False
445,Instagram,slika,1100,56,2,1,14,19,petak,False
446,TikTok,reel,6671,406,62,14,17,13,srijeda,False
447,Instagram,reel,3120,99,1,3,17,16,petak,False
448,TikTok,reel,16563,1332,254,29,27,21,srijeda,False
449,LinkedIn,slika,54288,2755,187,87,6,16,ponedjeljak,False
450,YouTube,video,866,76,6,3,6,11,ponedjeljak,False
451,Facebook,story,3065,257,24,4,6,8,ponedjeljak,False
452,TikTok,carousel,1127,0,0,0,7,15,nedjelja,False
453,LinkedIn,carousel,7229,0,0,0,4,16,ponedjeljak,False
