campaign_id,subject_line_type,send_time,open_rate,click_rate,unsubscribe
199,urgent,morning,0.1941,0.0718,0.0018
200,urgent,evening,0.1309,0.0535,0.0044
201,urgent,night,0.0545,0.0128,0.0062
202,promotional,night,0.1266,0.0319,0.0022
203,promotional,afternoon,0.1248,0.0362,0.007
204,promotional,morning,0.2605,0.0957,0.0027
205,urgent,afternoon,0.1796,0.0287,0.003
206,urgent,evening,0.1778,0.0456,0
207,personalized,evening,0.1509,0.0325,0.004
208,informational,evening,0.1051,0.0164,0.0047
209,urgent,afternoon,0.2853,0.0677,0.0039
210,informational,afternoon,0.0539,0.001,0.0041
211,promotional,evening,0.1028,0.0366,0.0125
212,personalized,afternoon,0.2762,0.0856,0.0063
213,urgent,evening,0.211,0.079,0.0041
214,informational,evening,0.1171,0.0035,0
215,personalized,evening,0.2303,0.0327,0.0028
216,urgent,evening,0.1314,0.0129,0.0034
217,informational,morning,0.1455,0.0385,0.0054
218,promotional,afternoon,0.1806,0.0619,0.0012
219,urgent,evening,0.0659,0.0018,0
220,urgent,afternoon,0.1002,0.0473,0.0096
221,informational,morning,0.2274,0.0564,0.0071
222,promotional,evening,0.172,0.0983,0.0087
223,informational,night,0.0771,0.0333,0.0034
224,informational,night,0.2074,0.0481,0.0071
225,urgent,evening,0.13,0.0615,0
226,informational,afternoon,0.1301,0.0747,0.0031
227,informational,night,0.0736,0.0135,0.0061
228,urgent,evening,0.0792,0.0413,0.0104
229,urgent,evening,0.1483,0.0307,0
230,informational,night,0.0631,0.001,0.01
231,promotional,afternoon,0.0929,0.0366,0.0076
232,promotional,evening,0.129,0.0591,0.0032
233,promotional,evening,0.1667,0.0534,0.0041
234,personalized,evening,0.189,0.0191,0
235,promotional,night,0.1982,0.059,0.0016
236,promotional,morning,0.1684,0.0317,0.008
237,informational,afternoon,0.1683,0.0428,0
238,promotional,night,0.1743,0.0476,0.0042
239,promotional,evening,0.1602,0.0467,0.0046
240,personalized,afternoon,0.214,0.0863,0.0028
241,personalized,morning,0.2893,0.0794,0.0073
242,promotional,afternoon,0.0866,0.0367,0.0018
243,personalized,morning,0.2491,0.0801,0.0014
244,urgent,afternoon,0.1319,0.0142,0.0007
245,promotional,evening,0.1206,0.0546,0.0029
246,promotional,night,0.1819,0.0926,0.0085
247,informational,morning,0.1913,0.082,0.01
248,promotional,afternoon,0.1318,0.0252,0.0025
249,informational,evening,0.1649,0.025,0.0066
250,informational,evening,0.1086,0.0621,0.0065
251,informational,evening,0.1552,0.06,0.0053
252,informational,afternoon,0.1819,0.0699,0.0047
253,urgent,evening,0.1922,0.0679,0.0016
254,urgent,afternoon,0.245,0.1104,0.0063
255,urgent,afternoon,0.1466,0.0407,0.0042
256,personalized,afternoon,0.1759,0.024,0.0116
257,personalized,morning,0.2077,0.0612,0.0055
258,promotional,afternoon,0.1881,0.0343,0.0055
259,personalized,evening,0.1195,0.0244,0.0072
260,promotional,evening,0.1019,0.0323,0.0047
261,urgent,night,0.1163,0.0598,0.0104
262,personalized,afternoon,0.2851,0.073,0.0054
263,promotional,night,0.1476,0.0237,0.0022
264,urgent,night,0.1285,0.0462,0.003
265,personalized,evening,0.1367,0.0432,0.0117
266,informational,morning,0.1937,0.0278,0.0075
267,urgent,morning,0.2135,0.0744,0.0037
268,informational,afternoon,0.214,0.0765,0.007
269,promotional,morning,0.134,0.0719,0.0061
270,informational,night,0.075,0.0338,0.005
271,informational,evening,0.1162,0.0468,0.007
272,informational,afternoon,0.1083,0.0171,0
273,personalized,morning,0.1965,0.0616,0.0005
274,informational,night,0.1414,0.0239,0.0001
275,informational,morning,0.1317,0.0509,0.0078
276,personalized,evening,0.167,0.0638,0.0006
277,urgent,night,0.1079,0.0284,0.0012
278,promotional,afternoon,0.0339,0.0196,0.0038
279,informational,evening,0.0892,0.0447,0.0091
280,urgent,morning,0.1987,0.053,0.0037
281,informational,morning,0.1779,0.0741,0.0027
282,urgent,afternoon,0.2416,0.0682,0.0079
283,urgent,morning,0.1894,0.1065,0.0063
284,promotional,night,0.173,0.0583,0.0024
285,promotional,night,0.1301,0.0361,0.0034
286,urgent,night,0.2123,0.0927,0.0053
287,urgent,night,0.1587,0.0308,0.0048
288,urgent,evening,0.2238,0.0732,0.0004
289,personalized,morning,0.2731,0.0271,0.0021
290,promotional,afternoon,0.1403,0.0907,0.0053
291,personalized,afternoon,0.1513,0.0428,0.0072
292,urgent,evening,0.1146,0.0734,0.0065
293,urgent,evening,0.2173,0.0736,0.0028
294,personalized,morning,0.2805,0.072,0.0045
295,personalized,night,0.231,0.0712,0.0023
296,personalized,morning,0.1912,0.0377,0.0044
297,informational,morning,0.1397,0.0396,0.0072
298,personalized,evening,0.233,0.1,0.0042
299,informational,night,0.1705,0.0556,0.009
300,promotional,night,0.1438,0.0111,0.0046
301,personalized,evening,0.1776,0.0553,0.0072
302,promotional,night,0.1157,0.0694,0.0038
303,personalized,evening,0.1405,0.0256,0.0063
304,promotional,evening,0.0534,0.0035,0.0041
305,urgent,evening,0.1513,0.0107,0.0042
306,urgent,afternoon,0.2535,0.0691,0.0028
307,urgent,afternoon,0.2314,0.0718,0.0066
308,personalized,morning,0.2707,0.0819,0.0056
309,personalized,afternoon,0.2579,0.0838,0.0037
310,urgent,evening,0.062,0.001,0.0041
311,promotional,evening,0.1026,0.0463,0.0019
312,urgent,afternoon,0.1991,0.0478,0.0046
313,urgent,evening,0.0927,0.0447,0.0039
314,urgent,evening,0.1442,0.072,0.0075
315,personalized,evening,0.1757,0.0695,0.0047
316,informational,evening,0.1166,0.016,0.0038
317,promotional,evening,0.073,0.0138,0.0056
318,informational,night,0.2397,0.0415,0.0014
319,promotional,night,0.1583,0.1085,0.0033
320,informational,night,0.114,0.0165,0.0041
321,informational,night,0.1603,0.0386,0.0055
322,personalized,night,0.1171,0.0383,0.008
323,urgent,evening,0.1781,0.034,0.0067
324,personalized,morning,0.2276,0.0506,0.0044
325,urgent,afternoon,0.1707,0.0429,0.0023
326,urgent,night,0.1279,0.0402,0.0057
327,informational,afternoon,0.1043,0.0162,0.0084
328,urgent,morning,0.2295,0.062,0.007
329,urgent,morning,0.2082,0.0612,0.0007
330,urgent,afternoon,0.1275,0.0452,0.0036
331,personalized,afternoon,0.2733,0.1239,0.0073
332,personalized,morning,0.2211,0.0771,0.0037
333,urgent,night,0.1551,0.0737,0.0103
334,urgent,morning,0.1922,0.0703,0
335,informational,afternoon,0.0255,0.0197,0.0058
336,urgent,night,0.1536,0.051,0.0041
337,urgent,evening,0.1991,0.0431,0.0041
338,promotional,night,0.0607,0.001,0.0056
339,personalized,night,0.225,0.0392,0.0079
340,urgent,night,0.1655,0.0518,0.0036
341,personalized,morning,0.2336,0.0513,0.0041
342,informational,night,0.1045,0.0336,0.0063
343,promotional,night,0.1744,0.0386,0.0051
344,personalized,night,0.2258,0.0571,0.0079
345,personalized,evening,0.1168,0.0161,0.0065
346,informational,evening,0.1606,0.019,0.0032
347,personalized,afternoon,0.1812,0.0473,0.004
348,informational,afternoon,0.0772,0.0332,0.007
349,urgent,evening,0.1452,0.0399,0.0056
350,promotional,evening,0.1688,0.035,0.0077
351,urgent,night,0.1305,0.0309,0.004
352,personalized,evening,0.2112,0.0305,0.0098
353,informational,night,0.1757,0.0908,0.0122
354,personalized,afternoon,0.2308,0.0641,0.007
355,personalized,morning,0.2144,0.0491,0
356,promotional,afternoon,0.1779,0.0523,0.0022
357,promotional,night,0.0411,0.001,0.0026
358,promotional,morning,0.1631,0.026,0.0062
359,informational,evening,0.1368,0.0289,0.0105
360,informational,night,0.0891,0.0513,0.0125
361,personalized,evening,0.2143,0.0713,0.0055
362,informational,evening,0.1116,0.0468,0.0058
363,urgent,night,0.2372,0.0951,0.01
364,promotional,afternoon,0.1779,0.032,0.0054
365,urgent,afternoon,0.234,0.0859,0.0029
366,promotional,night,0.103,0.0372,0.0039
367,urgent,afternoon,0.1198,0.0209,0.0053
368,personalized,night,0.0312,0.001,0.0029
369,informational,evening,0.0675,0.0191,0.0074
370,informational,evening,0.1148,0.0304,0.0088
371,personalized,night,0.2513,0.0971,0.0051
372,urgent,night,0.1582,0.0513,0.0059
373,urgent,evening,0.2355,0.0929,0.0025
374,informational,afternoon,0.2137,0.0702,0
375,informational,evening,0.0836,0.0249,0.0036
376,personalized,afternoon,0.2156,0.0542,0.0042
377,informational,afternoon,0.159,0.0128,0.0075
378,informational,evening,0.0726,0.0761,0.0027
379,urgent,evening,0.1582,0.0629,0.0102
380,personalized,afternoon,0.182,0.0435,0.0095
381,personalized,night,0.1641,0.0733,0.005
382,urgent,morning,0.1927,0.0761,0.0045
383,informational,night,0.1286,0.0346,0.0044
384,personalized,evening,0.1542,0.0484,0.0044
385,urgent,night,0.1237,0.0599,0.0057
386,urgent,evening,0.186,0.0675,0.0064
387,personalized,night,0.2496,0.0652,0.0119
388,urgent,night,0.1171,0.0352,0.0138
389,urgent,morning,0.2554,0.0936,0.0045
390,personalized,morning,0.2894,0.0462,0.0061
391,promotional,evening,0.2079,0.0577,0.0077
392,personalized,afternoon,0.1291,0.0189,0.0038
393,personalized,evening,0.1006,0.0173,0.0044
394,promotional,evening,0.1019,0.0488,0.0042
395,urgent,afternoon,0.2026,0.0814,0.0024
396,personalized,evening,0.198,0.0224,0.0008
397,informational,morning,0.1319,0.0231,0.0069
398,promotional,evening,0.0436,0.0344,0.0053
399,promotional,evening,0.142,0.0201,0.0012
400,promotional,morning,0.1329,0.0742,0.0042
401,informational,morning,0.1147,0.0243,0.0039
402,promotional,night,0.1012,0.0396,0.0019
403,informational,evening,0.1923,0.0705,0.003
404,urgent,morning,0.2497,0.0613,0.0065
405,urgent,morning,0.242,0.0735,0.0085
406,personalized,night,0.2668,0.0724,0.0034
407,personalized,afternoon,0.2306,0.0797,0.0045
408,promotional,afternoon,0.1715,0.0033,0.0031
409,personalized,evening,0.253,0.0632,0.0055
410,personalized,afternoon,0.2485,0.0874,0.0042
411,personalized,morning,0.3116,0.126,0
412,urgent,morning,0.2331,0.0389,0.0067
413,informational,night,0.1787,0.0601,0.0066
414,promotional,morning,0.2464,0.0973,0.0043
415,promotional,afternoon,0.1511,0.0352,0.0009
416,personalized,night,0.1917,0.0785,0.0131
417,personalized,night,0.1862,0.0656,0.0047
418,urgent,night,0.1546,0.0553,0.0047
419,personalized,evening,0.2146,0.0461,0.0065
420,promotional,night,0.0929,0.0304,0.0046
421,personalized,evening,0.28,0.0949,0.0052
422,informational,afternoon,0.1561,0.0354,0.0002
423,promotional,afternoon,0.1991,0.0378,0.0028
424,informational,night,0.1649,0.0715,0.0112
425,informational,afternoon,0.0747,0.0565,0.0052
426,informational,evening,0.1155,0.0188,0.0067
427,personalized,evening,0.1983,0.0603,0.0083
428,informational,night,0.1375,0.0599,0.0058
429,informational,afternoon,0.1874,0.0671,0.0055
430,promotional,morning,0.2164,0.0868,0.0043
431,urgent,night,0.1982,0.0798,0.0033
432,urgent,evening,0.1203,0.0563,0.0082
433,personalized,morning,0.1597,0.0525,0.0062
434,informational,afternoon,0.1235,0.0408,0.0034
435,promotional,morning,0.1567,0.0311,0.0033
436,personalized,afternoon,0.1949,0.0564,0.0025
437,urgent,evening,0.1547,0.0358,0.0011
438,promotional,night,0.1621,0.0246,0.0011
439,informational,morning,0.1732,0.0561,0.0055
440,personalized,morning,0.2135,0.0434,0.0035
441,personalized,afternoon,0.1564,0.0203,0.0021
442,informational,night,0.1019,0.0124,0.0024
443,promotional,evening,0.0939,0.0082,0
444,informational,evening,0.2716,0.0595,0.0101
445,urgent,morning,0.1754,0.0367,0.0039
446,personalized,night,0.1848,0.023,0
447,informational,morning,0.1729,0.0738,0.0079
448,personalized,afternoon,0.2606,0.0902,0.0032
449,urgent,morning,0.3285,0.0873,0.0073
450,informational,afternoon,0.2344,0.0779,0.0032
451,promotional,afternoon,0.1451,0.0249,0.0036
452,promotional,evening,0.1105,0.0033,0.0039
453,informational,evening,0.1685,0.0759,0.0011
454,informational,afternoon,0.0758,0.001,0.0031
455,urgent,afternoon,0.1575,0.097,0.0074
456,urgent,night,0.1398,0.0313,0.0053
457,personalized,morning,0.312,0.1078,0.004
458,promotional,morning,0.1352,0.0409,0.0034
459,urgent,afternoon,0.1883,0.0204,0.0071
460,informational,night,0.1162,0.0247,0.0062
461,personalized,morning,0.2601,0.1263,0.0069
462,informational,afternoon,0.1891,0.0287,0.0066
463,personalized,morning,0.2024,0.0424,0
464,urgent,afternoon,0.167,0.0411,0.0029
465,promotional,night,0.1861,0.0897,0.0051
466,personalized,morning,0.1622,0.0177,0.0093
467,promotional,night,0.1004,0.0356,0.0035
468,urgent,evening,0.056,0.0183,0.0064
469,personalized,afternoon,0.2704,0.0595,0.009
470,urgent,morning,0.0881,0.001,0.0004
471,personalized,evening,0.2461,0.0577,0.0029
472,personalized,evening,0.2522,0.0837,0.0057
473,urgent,afternoon,0.1496,0.0376,0.0028
474,urgent,night,0.1689,0.019,0.0012
475,urgent,morning,0.1444,0.0274,0.007
476,promotional,morning,0.0455,0.0281,0.0045
477,urgent,night,0.1502,0.0395,0.0031
478,urgent,morning,0.155,0.0806,0.003
479,urgent,morning,0.2047,0.0738,0.0032
480,personalized,night,0.1543,0.0566,0.0004
481,personalized,evening,0.2061,0.0451,0.0072
482,urgent,morning,0.1918,0.0436,0.0091
483,personalized,afternoon,0.2417,0.1057,0.0025
484,urgent,evening,0.1401,0.0444,0.0032
485,urgent,morning,0.1632,0.0729,0.0046
486,informational,evening,0.0326,0.0142,0.0038
487,promotional,night,0.1049,0.0531,0.0061
488,personalized,night,0.2322,0.0483,0.0094
489,personalized,afternoon,0.2627,0.0743,0.008
490,personalized,afternoon,0.2626,0.0541,0.0078
491,informational,morning,0.2219,0.0811,0.0072
492,personalized,afternoon,0.1844,0.0501,0.0014
493,urgent,afternoon,0.2006,0.0557,0.0103
494,personalized,morning,0.217,0.0587,0.0069
495,promotional,afternoon,0.0791,0.0149,0.0045
496,informational,afternoon,0.2078,0.0776,0.0027
497,informational,afternoon,0.1873,0.0574,0.0091
498,urgent,night,0.162,0.001,0.0013
499,informational,night,0.1511,0.0676,0.0018
500,urgent,evening,0.1916,0.0423,0
501,personalized,night,0.1134,0.0653,0.0074
502,personalized,morning,0.225,0.0779,0.0046
503,informational,afternoon,0.2417,0.098,0.0097
504,personalized,morning,0.2349,0.0801,0.0012
505,personalized,afternoon,0.1562,0.0525,0.0089
506,urgent,night,0.1758,0.1135,0.0089
507,promotional,night,0.1115,0.031,0.0015
508,informational,morning,0.2472,0.0711,0.004
509,personalized,evening,0.2633,0.0685,0.0042
510,informational,night,0.0709,0.026,0.0082
511,personalized,evening,0.1968,0.0946,0.0019
512,personalized,morning,0.2394,0.0783,0.0048
513,personalized,morning,0.245,0.0659,0.0079
514,informational,afternoon,0.1701,0.0512,0.0091
515,informational,afternoon,0.263,0.0874,0.0046
516,promotional,night,0.083,0.001,0.0017
517,urgent,night,0.1113,0.0488,0.0061
518,personalized,evening,0.161,0.0576,0.0079
519,personalized,night,0.2197,0.0743,0.0059
520,promotional,evening,0.1718,0.0431,0.0054
521,personalized,morning,0.2549,0.0716,0.0007
522,promotional,afternoon,0.1234,0.095,0.0051
523,promotional,morning,0.1451,0.0587,0.0062
524,personalized,morning,0.1804,0.0665,0.0045
525,urgent,afternoon,0.0469,0.0021,0.0087
526,informational,evening,0.1709,0.0136,0.0022
527,informational,afternoon,0.1714,0.0315,0
528,promotional,evening,0.0463,0.0227,0.0044
529,informational,afternoon,0.1975,0.0455,0
530,personalized,night,0.0827,0.0475,0.0034
531,urgent,night,0.2228,0.0566,0.0071
532,informational,afternoon,0.165,0.072,0.0041
533,urgent,morning,0.1279,0.073,0.0098
534,promotional,morning,0.1216,0.0274,0.0027
535,urgent,afternoon,0.1745,0.0629,0.0052
536,urgent,night,0.1115,0.0258,0.0055
537,promotional,night,0.1784,0.0692,0.003
538,personalized,morning,0.2148,0.0587,0.0048
539,promotional,evening,0.1921,0.0368,0.0033
540,personalized,morning,0.2286,0.0625,0.0048
541,personalized,night,0.2358,0.1185,0.0103
542,urgent,afternoon,0.2102,0.0329,0.0048
543,promotional,afternoon,0.2496,0.1033,0.0087
544,promotional,afternoon,0.1006,0.0042,0.0051
545,promotional,morning,0.195,0.0521,0.0025
546,promotional,afternoon,0.0445,0.001,0
547,personalized,afternoon,0.3133,0.091,0.001
548,promotional,afternoon,0.2188,0.0751,0.0068
549,personalized,night,0.1537,0.0176,0.0071
550,personalized,night,0.1622,0.0411,0.0021
551,urgent,night,0.1341,0.0826,0.0064
552,promotional,night,0.0746,0.0554,0.0063
553,informational,afternoon,0.1723,0.0559,0.0079
554,promotional,afternoon,0.2244,0.0555,0.0046
555,personalized,night,0.1781,0.0695,0.0064
556,promotional,night,0.0968,0.0474,0
557,promotional,night,0.1459,0.0668,0.0083
558,promotional,afternoon,0.1627,0.0681,0.0057
559,promotional,morning,0.1686,0.0782,0.0035
560,promotional,afternoon,0.1605,0.0519,0.0002
561,promotional,morning,0.2083,0.0567,0.0114
562,personalized,night,0.1524,0.0545,0.0091
563,urgent,night,0.1768,0.0667,0.0068
564,informational,evening,0.1399,0.0302,0.0023
565,urgent,morning,0.2356,0.0481,0.0046
566,personalized,morning,0.2708,0.0869,0.0057
567,promotional,afternoon,0.1429,0.0255,0.0113
568,informational,morning,0.1907,0.0383,0.0076
569,urgent,morning,0.2508,0.0487,0.0087
570,promotional,night,0.1413,0.069,0.0033
571,personalized,night,0.1081,0.0428,0.0033
572,personalized,night,0.1242,0.001,0.0058
573,urgent,evening,0.1597,0.0641,0.0041
574,urgent,evening,0.0255,0.0218,0.0031
575,promotional,night,0.137,0.0306,0.0004
576,informational,night,0.1471,0.064,0.008
577,informational,night,0.0818,0.0344,0.0047
578,urgent,night,0.0991,0.0181,0.007
579,urgent,afternoon,0.1743,0.0389,0.0054
580,informational,evening,0.1594,0.0682,0.0028
581,urgent,evening,0.1316,0.0286,0.0059
582,urgent,evening,0.1716,0.0927,0.0008
583,urgent,morning,0.2122,0.0809,0.0084
584,urgent,afternoon,0.1332,0.0441,0.0048
585,informational,night,0.0995,0.0248,0.0095
586,informational,night,0.1197,0.0039,0.0026
587,informational,night,0.1123,0.0474,0.0046
588,urgent,evening,0.0684,0.001,0.0017
589,promotional,morning,0.1699,0.0427,0.011
590,promotional,evening,0.1329,0.0503,0.0029
